"","paddy_raster_df","Freq"
"1","101",18572.1
"2","102",72.85
"3","103",1714.18
"4","104",10.52
"5","105",228.65
"6","107",822.18
"7","201",13.43
"8","202",247.28
"9","203",419.07
"10","204",31.59
"11","205",2.92
"12","207",20.19
"13","301",1320.24
"14","302",359.02
"15","303",15774.6
"16","304",11416.98
"17","305",2176.25
"18","307",440.22
"19","401",132.74
"20","402",72.09
"21","403",450.57
"22","404",5485.77
"23","405",7160.56
"24","407",15.26
"25","501",5716.23
"26","502",34.28
"27","503",1984.93
"28","504",538.82
"29","505",2080.04
"30","507",159.87
"31","701",1599.23
"32","702",72.76
"33","703",1285.7
"34","704",39.35
"35","705",67.74
"36","707",7487.41
