"","paddy_raster_df","Freq"
"1","101",50393.7
"2","102",93.74
"3","103",1019.14
"4","104",12.9
"5","105",123.92
"6","107",560.87
"7","201",44.41
"8","202",382.91
"9","203",1099.19
"10","204",161.25
"11","205",10.65
"12","207",12.05
"13","301",2248.81
"14","302",208.93
"15","303",8343.66
"16","304",3791.28
"17","305",1256.6
"18","306",0.04
"19","307",87.38
"20","401",31.23
"21","402",3.18
"22","403",133.34
"23","404",3916.54
"24","405",7519.01
"25","407",9.01
"26","501",15831.3
"27","502",31.04
"28","503",1999.95
"29","504",307.84
"30","505",8555.46
"31","507",52.28
"32","601",20.78
"33","602",0.07
"34","603",1.4
"35","605",0.6
"36","607",0.01
"37","701",1889.31
"38","702",21.2
"39","703",553.81
"40","704",7
"41","705",33
"42","707",3017.32
