"","paddy_raster_df","Freq"
"1","101",23406.34
"2","102",79.88
"3","103",1915.38
"4","104",0.44
"5","105",27.68
"6","107",13081.54
"7","201",81.94
"8","202",31.85
"9","203",1039.88
"10","204",1.24
"11","205",7.07
"12","207",255.61
"13","301",266.7
"14","302",4.1
"15","303",1002.29
"16","304",32.29
"17","305",218.75
"18","307",181.11
"19","401",56.97
"20","402",0.26
"21","403",325.49
"22","404",100.49
"23","405",831.13
"24","407",430.32
"25","501",1243.71
"26","502",0.36
"27","503",624.99
"28","504",0.71
"29","505",347.04
"30","507",767.75
"31","701",5587.06
"32","702",12.76
"33","703",287.19
"34","704",2.27
"35","705",40.83
"36","707",11783.15
