"","paddy_raster_df","Freq"
"1","101",10027.12
"2","102",105.46
"3","103",127.84
"4","104",33.68
"5","105",45.38
"6","107",8071.26
"7","201",67.03
"8","202",99.12
"9","203",289.1
"10","204",4.65
"11","205",0.24
"12","207",172.28
"13","301",26.77
"14","302",2.57
"15","303",117.27
"16","304",23.23
"17","305",15.88
"18","307",44.04
"19","401",3.64
"20","402",1.05
"21","403",8.97
"22","404",175.4
"23","405",64.49
"24","407",56.47
"25","501",138.26
"26","502",1.51
"27","503",55.55
"28","504",13.78
"29","505",118.67
"30","507",241.89
"31","701",3006.7
"32","702",144.51
"33","703",206.9
"34","704",82.33
"35","705",99.46
"36","707",14961.94
