"","paddy_raster_df","Freq"
"1","101",2197.6
"2","102",15.82
"3","103",1410.28
"4","104",16.38
"5","105",12.4
"6","107",26731.38
"7","201",6.42
"8","203",540.38
"9","204",100.27
"10","205",60.48
"11","207",201.01
"12","301",26.98
"13","302",0.02
"14","303",1194.26
"15","304",362.08
"16","305",174.08
"17","307",46.13
"18","401",44.92
"19","402",0.26
"20","403",1377.06
"21","404",301.51
"22","405",377.91
"23","407",453.58
"24","501",53.79
"25","502",0.19
"26","503",587.77
"27","504",16.15
"28","505",31.52
"29","507",344.27
"30","701",621.33
"31","702",1.66
"32","703",837.47
"33","704",34.67
"34","705",47.98
"35","707",20364.1
