"","paddy_raster_df","Freq"
"1","101",9625.92
"2","102",138.15
"3","103",2538.65
"4","104",33.4
"5","105",254.14
"6","106",0.06
"7","107",1264.27
"8","201",29.41
"9","202",982.58
"10","203",2511.15
"11","204",251.04
"12","205",11.14
"13","206",0.03
"14","207",9.96
"15","301",742.99
"16","302",1526.41
"17","303",38349.96
"18","304",9059.72
"19","305",1912.51
"20","306",1.18
"21","307",509.41
"22","401",130.91
"23","402",20.12
"24","403",304.23
"25","404",3614.85
"26","405",8390.81
"27","407",6.23
"28","501",5703.66
"29","502",54.09
"30","503",2179.39
"31","504",399.82
"32","505",2680.3
"33","507",109.09
"34","603",0.12
"35","701",1051.4
"36","702",123.92
"37","703",1452.83
"38","704",49
"39","705",117.66
"40","706",0.02
"41","707",3945.12
