"","paddy_raster_df","Freq"
"1","101",29482.15
"2","102",343.95
"3","103",308.7
"4","104",63.48
"5","105",267.89
"6","107",7901.42
"7","201",31.86
"8","202",256.04
"9","203",347.61
"10","204",96.19
"11","205",1.02
"12","207",109.85
"13","301",107.11
"14","302",85.8
"15","303",737.33
"16","304",815.9
"17","305",78.16
"18","307",98.39
"19","401",50.87
"20","402",0.32
"21","403",9.08
"22","404",1441.03
"23","405",437.99
"24","407",405.36
"25","501",672.98
"26","502",5.38
"27","503",23.44
"28","504",78.95
"29","505",197.8
"30","507",193.2
"31","701",7295.72
"32","702",214.84
"33","703",353.48
"34","704",59.32
"35","705",47.95
"36","707",13072.47
