"","paddy_raster_df","Freq"
"1","101",34492.14
"2","102",99.3
"3","103",96.77
"4","104",19.62
"5","105",118.39
"6","107",2916.86
"7","201",126.6
"8","202",863.69
"9","203",303.51
"10","204",20.16
"11","205",1.23
"12","207",62.62
"13","301",644.79
"14","302",153.87
"15","303",1062.39
"16","304",411.4
"17","305",285.67
"18","307",457.28
"19","401",170.39
"20","402",0.38
"21","403",74.6
"22","404",1263.01
"23","405",2038.14
"24","407",3099.22
"25","501",2504.83
"26","502",58.96
"27","503",65.56
"28","504",18.29
"29","505",480.65
"30","507",1034.45
"31","701",8551.6
"32","702",236.57
"33","703",83.8
"34","704",12.16
"35","705",57.66
"36","707",10013.2
