"","paddy_raster_df","Freq"
"1","101",5864.23
"2","102",516.37
"3","103",11139.43
"4","104",55.58
"5","105",598.85
"6","107",328.34
"7","201",239.32
"8","202",1454.88
"9","203",8585.99
"10","204",13.83
"11","205",36.18
"12","206",0.01
"13","207",88.07
"14","301",1655.69
"15","302",1682.44
"16","303",28047.76
"17","304",5526.22
"18","305",1568.42
"19","306",0.04
"20","307",505.01
"21","401",180.94
"22","402",0.37
"23","403",323.89
"24","404",6376.31
"25","405",5433.1
"26","407",6.07
"27","501",2051.19
"28","502",2.48
"29","503",712.09
"30","504",503.08
"31","505",3523.92
"32","507",18.33
"33","601",46.73
"34","602",114.94
"35","603",2353.36
"36","604",5.61
"37","605",6.47
"38","606",0.07
"39","607",37.31
"40","701",3917.53
"41","702",32.45
"42","703",723.79
"43","704",3.31
"44","705",9.99
"45","707",5756.46
