"","paddy_raster_df","Freq"
"1","101",11056.76
"2","102",314.77
"3","103",45.69
"4","104",74.26
"5","105",32.56
"6","107",5530.67
"7","201",12.49
"8","202",38.2
"9","203",4.64
"10","204",0.84
"11","207",5.49
"12","301",141.49
"13","302",19.15
"14","303",83.93
"15","304",67.25
"16","305",39.11
"17","307",120.96
"18","401",28.75
"19","402",0.02
"20","403",11.6
"21","404",107.87
"22","405",337.78
"23","407",845.79
"24","501",681.7
"25","502",3.45
"26","503",18.32
"27","504",48.23
"28","505",103.06
"29","507",232.89
"30","701",7330.24
"31","702",256.83
"32","703",65.56
"33","704",11.57
"34","705",56.96
"35","707",11741.78
