"","paddy_raster_df","Freq"
"1","101",1509.91
"2","102",211.76
"3","103",4657.33
"4","104",2.13
"5","105",57.7
"6","107",155.6
"7","201",67.18
"8","202",629.65
"9","203",3778.91
"10","204",0.51
"11","205",9.24
"12","206",0.01
"13","207",24.14
"14","301",8118.77
"15","302",2799.15
"16","303",40490.8
"17","304",10660.44
"18","305",8995.52
"19","306",0.04
"20","307",762.94
"21","401",0.06
"22","402",0.03
"23","403",18.52
"24","404",1560.6
"25","405",1275.22
"26","407",0.56
"27","501",196.74
"28","502",1.14
"29","503",45.09
"30","504",234.64
"31","505",771.52
"32","507",2.58
"33","601",46.71
"34","602",114.9
"35","603",2353.42
"36","604",5.61
"37","605",6.47
"38","606",0.07
"39","607",37.31
"40","701",3915.99
"41","702",32.11
"42","703",726.38
"43","704",2.94
"44","705",9.65
"45","707",5756.46
