"","paddy_raster_df","Freq"
"1","101",14565.23
"2","102",28.8
"3","103",1789.55
"4","104",4.8
"5","105",254.54
"6","107",1119.52
"7","201",12.79
"8","202",142.46
"9","203",112.34
"10","204",2.76
"11","205",0.02
"12","207",2.3
"13","301",1804.98
"14","302",529.39
"15","303",27156.52
"16","304",9241.55
"17","305",1950.88
"18","306",0.01
"19","307",282.66
"20","401",2.76
"21","402",1.39
"22","403",94.18
"23","404",3595.33
"24","405",3776.4
"25","407",7.86
"26","501",3249.36
"27","502",3.25
"28","503",1034.17
"29","504",455.54
"30","505",4495.16
"31","507",57.36
"32","701",1785.4
"33","702",29.01
"34","703",1288.37
"35","704",17.01
"36","705",36.77
"37","707",9082.26
