"","paddy_raster_df","Freq"
"1","101",34474.69
"2","102",95.39
"3","103",93.3
"4","104",19.59
"5","105",118.14
"6","107",2916.2
"7","201",124.48
"8","202",863.67
"9","203",305.58
"10","204",20.1
"11","205",1.23
"12","207",62.62
"13","301",647.61
"14","302",158.01
"15","303",1081.59
"16","304",411.43
"17","305",285.66
"18","307",458.3
"19","401",170.39
"20","402",0.38
"21","403",74.6
"22","404",1263.01
"23","405",2038.14
"24","407",3099.21
"25","501",2504.46
"26","502",58.73
"27","503",65.29
"28","504",18.28
"29","505",480.59
"30","507",1034.1
"31","701",8550.81
"32","702",236.53
"33","703",84.65
"34","704",12.16
"35","705",57.64
"36","707",10013.2
