"","paddy_raster_df","Freq"
"1","101",38760.48
"2","102",112.62
"3","103",1016.93
"4","104",7.28
"5","105",273.32
"6","106",6.04
"7","107",733.74
"8","201",8.84
"9","202",324.94
"10","203",320.1
"11","204",32.64
"12","205",0.78
"13","206",0.05
"14","207",1.99
"15","301",1401.54
"16","302",1225.63
"17","303",12051.39
"18","304",3157.11
"19","305",1413.59
"20","306",13.74
"21","307",654.22
"22","401",38.78
"23","402",0.17
"24","403",271.17
"25","404",8290.6
"26","405",14376.54
"27","406",0.1
"28","407",76.9
"29","501",10332.05
"30","502",12.24
"31","503",1758.8
"32","504",115.74
"33","505",10591.27
"34","506",1.98
"35","507",252.29
"36","601",0.01
"37","603",0.04
"38","606",0.02
"39","701",1655.11
"40","702",34.8
"41","703",518.76
"42","704",8.97
"43","705",129.62
"44","707",3802.94
