"","paddy_raster_df","Freq"
"1","101",3174.33
"2","102",65.47
"3","103",456.99
"4","104",2.39
"5","105",32.31
"6","107",160.52
"7","201",281.26
"8","202",1118
"9","203",3444.88
"10","204",46.48
"11","205",12.69
"12","207",70.94
"13","301",4491.76
"14","302",854.59
"15","303",31023.46
"16","304",5571.27
"17","305",1046.91
"18","307",836.37
"19","401",26.48
"20","402",0.51
"21","403",249.35
"22","404",6511.66
"23","405",4035.09
"24","407",44.07
"25","501",3887.11
"26","502",25.24
"27","503",1323.68
"28","504",321.75
"29","505",2551.45
"30","507",100.03
"31","601",0.06
"32","701",1911.03
"33","702",145.31
"34","703",2414.36
"35","704",52.9
"36","705",54.43
"37","707",11638.71
