"","paddy_raster_df","Freq"
"1","101",21169.13
"2","102",40.33
"3","103",231.82
"4","104",46.8
"5","105",204.91
"6","107",7874.16
"7","201",16.48
"8","202",66.22
"9","203",307.08
"10","204",56.13
"11","205",2.34
"12","207",64.55
"13","301",636.66
"14","302",20.9
"15","303",1112.27
"16","304",894.41
"17","305",269.31
"18","307",118.73
"19","401",9.38
"20","403",17.33
"21","404",409.6
"22","405",352.69
"23","407",217.52
"24","501",504.7
"25","502",0.31
"26","503",52.65
"27","504",66.47
"28","505",123.45
"29","507",149.52
"30","701",16879.64
"31","702",102.57
"32","703",644.98
"33","704",20.21
"34","705",74.17
"35","707",17291.76
