"","paddy_raster_df","Freq"
"1","101",2885.86
"2","102",28.69
"3","103",252.98
"4","104",59.04
"5","105",108.48
"6","106",3.61
"7","107",6508.08
"8","201",12.62
"9","202",6.18
"10","203",14.25
"11","204",1.12
"12","205",0.42
"13","207",68.03
"14","301",215.03
"15","302",21.14
"16","303",228.33
"17","304",144.52
"18","305",81.41
"19","306",0.16
"20","307",377.13
"21","401",17.32
"22","402",0.16
"23","403",46.41
"24","404",193.11
"25","405",181.92
"26","407",199.84
"27","501",122.93
"28","502",2.77
"29","503",95.63
"30","504",50.87
"31","505",73.76
"32","506",1.57
"33","507",217.03
"34","701",1920.4
"35","702",73.07
"36","703",405.96
"37","704",63.39
"38","705",89.04
"39","706",3.16
"40","707",23512.56
