"","paddy_raster_df","Freq"
"1","101",1511.33
"2","102",0.35
"3","103",49.47
"4","104",170.22
"5","105",121.73
"6","107",4662.29
"7","201",0.35
"8","202",0.18
"9","203",4.35
"10","204",0.98
"11","205",0.07
"12","207",2.38
"13","301",41.97
"14","302",2.49
"15","303",100.83
"16","304",244.99
"17","305",58.64
"18","307",219.6
"19","401",46.13
"20","402",0.09
"21","403",80.17
"22","404",1010.3
"23","405",643.29
"24","407",779.46
"25","501",87.04
"26","502",0.18
"27","503",40.95
"28","504",296.25
"29","505",249.15
"30","507",405.52
"31","701",2853.02
"32","702",12.11
"33","703",209.36
"34","704",333.71
"35","705",219.93
"36","707",23829.94
