"","paddy_raster_df","Freq"
"1","101",19906.06
"2","102",24.25
"3","103",2444.7
"4","104",62.41
"5","105",191.91
"6","107",15643.24
"7","201",135.03
"8","202",1333.02
"9","203",1752.93
"10","204",417.01
"11","205",16.74
"12","207",476.29
"13","301",157.73
"14","302",74.34
"15","303",2468.78
"16","304",3532.07
"17","305",524.44
"18","307",557.37
"19","401",26
"20","402",0.19
"21","403",976.85
"22","404",4290.59
"23","405",2302.37
"24","407",1611.5
"25","501",293.58
"26","502",1.37
"27","503",110.02
"28","504",23.98
"29","505",207.65
"30","507",204.49
"31","605",0.01
"32","701",4748.32
"33","702",19.29
"34","703",407.4
"35","704",21.15
"36","705",39.74
"37","707",13809.87
