"","paddy_raster_df","Freq"
"1","101",442.84
"2","102",5.31
"3","103",100.04
"4","104",21.92
"5","105",44.33
"6","107",16.63
"7","201",19.58
"8","202",9.7
"9","203",42.31
"10","204",0.29
"11","205",0.55
"12","301",190.53
"13","302",16.41
"14","303",248.16
"15","304",162.95
"16","305",69.79
"17","401",10.77
"18","402",0.65
"19","403",51.63
"20","404",331.92
"21","405",20.56
"22","501",50
"23","502",0.65
"24","503",21.29
"25","504",90.82
"26","505",46.08
"27","701",11282.22
"28","702",114.72
"29","703",192.1
"30","704",282.95
"31","705",58.22
"32","707",22204.13
