"","paddy_raster_df","Freq"
"1","101",22674.83
"2","102",20.99
"3","103",181.73
"4","104",4.92
"5","105",86.64
"6","107",551.7
"7","201",163.62
"8","202",53.97
"9","203",240.5
"10","204",8.19
"11","205",1.2
"12","207",75.76
"13","301",358.47
"14","302",35.63
"15","303",1003.75
"16","304",546.88
"17","305",108.9
"18","401",6.89
"19","402",0.44
"20","403",12.18
"21","404",1817.46
"22","405",461.48
"23","501",275.6
"24","502",0.54
"25","503",40.76
"26","504",52.94
"27","505",428.46
"28","701",19113.22
"29","702",71.54
"30","703",453.8
"31","704",105.27
"32","705",70.74
"33","707",8124.78
