"","paddy_raster_df","Freq"
"1","101",2852.81
"2","102",3.01
"3","103",111.11
"4","104",59.81
"5","105",112.3
"6","107",129.98
"7","201",129.07
"8","202",6.28
"9","203",78.2
"10","204",4.96
"11","205",11.16
"12","207",102.71
"13","301",358.72
"14","302",6.81
"15","303",436.76
"16","304",266.03
"17","305",183.44
"18","401",11.73
"19","402",0.36
"20","403",35.43
"21","404",901.4
"22","405",175.24
"23","501",93.56
"24","502",0.06
"25","503",86.32
"26","504",335.79
"27","505",284.28
"28","701",8957.01
"29","702",22.35
"30","703",360.36
"31","704",484.58
"32","705",229.43
"33","707",19405.23
