"","paddy_raster_df","Freq"
"1","101",24899.1
"2","102",243.27
"3","103",533.54
"4","104",8.32
"5","105",113.95
"6","106",8.18
"7","107",1184.72
"8","201",115.69
"9","202",265.62
"10","203",137.14
"11","204",0.51
"12","205",0.47
"13","207",16.59
"14","301",1165.92
"15","302",199.9
"16","303",1358.83
"17","304",50.3
"18","305",64.04
"19","401",5.91
"20","402",0.14
"21","403",4.85
"22","404",70.47
"23","405",64.61
"24","501",246.34
"25","502",2.19
"26","503",36.66
"27","504",24.17
"28","505",291.02
"29","506",0.05
"30","606",0.02
"31","701",21597.2
"32","702",220.13
"33","703",337.39
"34","704",2.37
"35","705",34.25
"36","706",0.44
"37","707",5599.96
