"","paddy_raster_df","Freq"
"1","101",18777.89
"2","102",157.7
"3","103",2256.06
"4","104",32.64
"5","105",409.84
"6","106",84.05
"7","107",2045.39
"8","201",31.29
"9","202",57.95
"10","203",2337.56
"11","204",102.7
"12","205",72.48
"13","206",1.88
"14","207",14.61
"15","301",1757
"16","302",309.73
"17","303",22182.84
"18","304",6871.69
"19","305",5666.97
"20","306",121.9
"21","307",308.87
"22","401",106.95
"23","402",113.28
"24","403",520.35
"25","404",10353.33
"26","405",6921.8
"27","406",1.02
"28","407",20.32
"29","501",3930.43
"30","502",81.61
"31","503",953.79
"32","504",623.56
"33","505",7731.66
"34","506",12.73
"35","507",117.64
"36","603",4.2
"37","604",21.64
"38","605",0.35
"39","701",676.95
"40","702",36.49
"41","703",116.8
"42","704",1.75
"43","705",14.31
"44","706",1.13
"45","707",3891.49
