"","paddy_raster_df","Freq"
"1","101",10030.78
"2","102",105.62
"3","103",125.17
"4","104",33.99
"5","105",44.51
"6","107",8071.28
"7","201",67.36
"8","202",99.35
"9","203",289.77
"10","204",4.7
"11","205",0.26
"12","207",172.28
"13","301",26.95
"14","302",2.54
"15","303",115.25
"16","304",23.25
"17","305",15.86
"18","307",44.01
"19","401",4.1
"20","402",1.05
"21","403",8.81
"22","404",175.3
"23","405",64.48
"24","407",56.48
"25","501",140.07
"26","502",1.59
"27","503",54.31
"28","504",13.7
"29","505",117.89
"30","507",241.89
"31","701",3008.91
"32","702",145.18
"33","703",204.13
"34","704",83
"35","705",98.68
"36","707",14961.94
