"","paddy_raster_df","Freq"
"1","101",3487.48
"2","102",19.33
"3","103",95.48
"4","104",23.55
"5","105",36.69
"6","107",26731.7
"7","201",40.68
"8","202",60.98
"9","203",385.5
"10","204",159.4
"11","205",65.01
"12","207",201.01
"13","301",151.8
"14","302",6.13
"15","303",665.54
"16","304",628.71
"17","305",290.84
"18","307",45.79
"19","401",188.89
"20","402",1.23
"21","403",160.48
"22","404",752.14
"23","405",998.95
"24","407",453.58
"25","501",446.79
"26","502",1.05
"27","503",40.77
"28","504",22.49
"29","505",178.62
"30","507",344.29
"31","701",889.23
"32","702",151.5
"33","703",336.57
"34","704",90.12
"35","705",75.69
"36","707",20364.1
