"","paddy_raster_df","Freq"
"1","101",50393.57
"2","102",93.16
"3","103",1016.06
"4","104",12.89
"5","105",123.55
"6","107",560.86
"7","201",47.51
"8","202",382.93
"9","203",1100.11
"10","204",161.26
"11","205",11.45
"12","207",12.02
"13","301",2244.07
"14","302",208.14
"15","303",8348.74
"16","304",3791.59
"17","305",1255.84
"18","306",0.04
"19","307",87.42
"20","401",31.89
"21","402",3.18
"22","403",133.34
"23","404",3916.54
"24","405",7518.57
"25","407",9.01
"26","501",15831.92
"27","502",30.95
"28","503",1999.89
"29","504",307.84
"30","505",8554.99
"31","507",52.28
"32","601",20.77
"33","602",0.03
"34","603",1.45
"35","605",0.6
"36","607",0.01
"37","701",1888.7
"38","702",21.2
"39","703",554.44
"40","704",7
"41","705",32.98
"42","707",3017.32
