"","paddy_raster_df","Freq"
"1","101",4154.32
"2","102",6.77
"3","103",43.16
"4","104",22.04
"5","105",51.65
"6","107",451.1
"7","201",4.55
"8","202",2.9
"9","203",8.81
"10","204",0.03
"11","205",0.16
"12","207",0.11
"13","301",108.9
"14","302",8.06
"15","303",137.68
"16","304",102.69
"17","305",90.67
"18","307",64.68
"19","401",1.78
"20","402",0.59
"21","403",26.98
"22","404",904.33
"23","405",425.97
"24","407",700.66
"25","501",283.53
"26","502",0.39
"27","503",57.47
"28","504",67.62
"29","505",302.2
"30","507",600.12
"31","701",13042.03
"32","702",42.93
"33","703",190.86
"34","704",229.83
"35","705",211.93
"36","707",16982.98
