"","paddy_raster_df","Freq"
"1","101",30718.19
"2","102",50.85
"3","103",1166.69
"4","104",31.39
"5","105",139.9
"6","106",0.01
"7","107",399.24
"8","201",52.84
"9","202",306.11
"10","203",2134.2
"11","204",944.3
"12","205",4.99
"13","207",16.95
"14","301",1419.95
"15","302",323.83
"16","303",15172.94
"17","304",10100.35
"18","305",959.08
"19","306",0.06
"20","307",592.31
"21","401",113.45
"22","402",0.37
"23","403",235.53
"24","404",11579.86
"25","405",15882.74
"26","407",318.59
"27","501",6620.85
"28","502",3.66
"29","503",897.95
"30","504",378.89
"31","505",5949.43
"32","507",439.8
"33","603",0.02
"34","701",1987.6
"35","702",4.75
"36","703",306.91
"37","704",18.47
"38","705",117.18
"39","707",4380.58
