"","paddy_raster_df","Freq"
"1","101",10511.31
"2","102",11.85
"3","103",2095.89
"4","104",2.34
"5","105",128.7
"6","107",1020.61
"7","201",56.8
"8","202",158.93
"9","203",1851.86
"10","204",42.12
"11","205",7.3
"12","207",98.15
"13","301",1879.05
"14","302",95.18
"15","303",32461.2
"16","304",2934.6
"17","305",981.44
"18","307",548.2
"19","401",37.24
"20","402",0.02
"21","403",1399.48
"22","404",4412.62
"23","405",6625.73
"24","407",31.36
"25","501",3840.23
"26","502",1.34
"27","503",2197.46
"28","504",75.38
"29","505",1533.54
"30","507",84.77
"31","701",1435.63
"32","702",1.9
"33","703",929.05
"34","704",10.86
"35","705",18.13
"36","707",10454.85
