"","paddy_raster_df","Freq"
"1","101",32256.44
"2","102",196.94
"3","103",280.47
"4","104",45.11
"5","105",250.64
"6","107",5633.38
"7","201",5.74
"8","202",123.89
"9","203",73.42
"10","204",21.85
"11","205",0.49
"12","207",7.45
"13","301",300.33
"14","302",51.6
"15","303",742.75
"16","304",1169.74
"17","305",87.71
"18","307",29.97
"19","401",2.78
"20","402",0.05
"21","403",32.96
"22","404",903.47
"23","405",371.37
"24","407",183.31
"25","501",360.34
"26","502",0.79
"27","503",39.48
"28","504",118.24
"29","505",300.07
"30","507",214.05
"31","701",10681.55
"32","702",428.78
"33","703",752.47
"34","704",83.89
"35","705",146.98
"36","707",14386.67
