"","sensor","model","period_start","start_first","start_last","period_end","end_first","end_last","rows","regions","prov","time_lag","area_ha_101","area_ha_102","area_ha_103","area_ha_104","area_ha_105","area_ha_106","area_ha_107","area_ha_201","area_ha_202","area_ha_203","area_ha_204","area_ha_205","area_ha_206","area_ha_207","area_ha_301","area_ha_302","area_ha_303","area_ha_304","area_ha_305","area_ha_306","area_ha_307","area_ha_401","area_ha_402","area_ha_403","area_ha_404","area_ha_405","area_ha_406","area_ha_407","area_ha_501","area_ha_502","area_ha_503","area_ha_504","area_ha_505","area_ha_506","area_ha_507","area_ha_601","area_ha_602","area_ha_603","area_ha_604","area_ha_605","area_ha_606","area_ha_607","area_ha_701","area_ha_702","area_ha_703","area_ha_704","area_ha_705","area_ha_706","area_ha_707","area_ha_total_nochange","area_ha_total_correct","area_ha_total_true","area_ha_total_incorrect","area_ha_total_all","area_RS","area_BPS","compare_total_RS","compare_total_BPS","pct_101","pct_102","pct_103","pct_104","pct_105","pct_106","pct_107","pct_201","pct_202","pct_203","pct_204","pct_205","pct_206","pct_207","pct_301","pct_302","pct_303","pct_304","pct_305","pct_306","pct_307","pct_401","pct_402","pct_403","pct_404","pct_405","pct_406","pct_407","pct_501","pct_502","pct_503","pct_504","pct_505","pct_506","pct_507","pct_601","pct_602","pct_603","pct_604","pct_605","pct_606","pct_607","pct_701","pct_702","pct_703","pct_704","pct_705","pct_706","pct_707","pct_total_nochange","pct_total_correct","pct_total_true","pct_total_incorrect"
"1","S2_MOD13Q1_S1","svmRadialMOD13Q1_S1","20180610_20180610","2018-06-10","2018-06-10","20180626_20180626","2018-06-26","2018-06-26","3","3212|3213|3215","32","16","11250.16","2973.37","27903.24","376.23","1759.42","18.51","3824.06","206.74","1965.62","9866.95","1156.78","103.38","21.53","264.17","4450.59","10063.07","97264.23","23613.9","4099.35","462.35","3714.88","655.75","104.27","1246.03","14940.96","13368.26","55.76","3824.06","10734.48","883.63","10739.97","665.82","9816.42","11.66","1429.84","5.6","1.1","397.31","0","2.63","0","1.07","21597.2","173.65","937.82","68.57","221.21","0.38","27092.98","162330.37","89649.6","251979.97","72354.99","324334.96","84154.4158190139","87336","385.40456474385","371.364569020793","3.46868558357076","0.916759019749212","8.60321687184138","0.116000445958709","0.542470043932359","0.00570706284638572","1.17904650180172","0.0637427429963147","0.606046292388585","3.04220981913266","0.356662137192981","0.0318744547303812","0.00663819897799485","0.0814497456580074","1.37222025032392","3.10267816950723","29.9888208166027","7.28071374112738","1.26392480169267","0.142553241870688","1.14538377238149","0.202182953080359","0.0321488623983057","0.384179984791032","4.60664493275717","4.12174500090894","0.0171921028803062","1.17904650180172","3.30968946425017","0.272443648997937","3.31138215874107","0.205287767929797","3.02663024670544","0.0035950487730339","0.44085287629801","0.00172661004536791","0.00033915554462584","0.122499899486629","0","0.000810890074878144","0","0.000329905847954226","6.65891829853926","0.0535403275675246","0.289151684419096","0.0211417233590853","0.0682041800242564","0.000117162824507108","8.35339489766999","50.0502227696946","27.641053557717","77.6912763274116","22.3087236725884"
"2","S2_MOD13Q1_S1","svmRadialMOD13Q1_S1","20180626_20180626","2018-06-26","2018-06-26","20180712_20180712","2018-07-12","2018-07-12","3","3212|3213|3215","32","16","21630.29","457","5274.93","598.77","1136.61","0","665.32","745.48","3098.39","11554.36","373.43","127.4","0","262.61","12940.04","3025.12","100853.03","25193.22","3939.55","0.02","2443.97","817.69","6.5","1152.61","24060.81","14123.81","0","665.32","16059.72","37.48","3743.09","2025.08","6880.91","0","620.9","18.99","34.1","255.36","108.18","143.47","0","3.54","21597.2","197.64","3753.82","122.61","175.82","0","22456.41","178979.84","91815.79","270795.63","42584.97","313380.6","84154.4158190139","87336","372.387588874682","358.821791701017","6.90224283187919","0.14582906536014","1.68323438017542","0.191067985701731","0.362693159691442","0","0.212304143906802","0.23788326399273","0.988698726085789","3.68700551342361","0.119161811548003","0.0406534418531332","0","0.0837990609501673","4.12917710924033","0.965318210508245","32.1822825024906","8.03917664335316","1.2571135545723","6.38201598950286e-06","0.779872780893265","0.26092553272283","0.00207415519658843","0.367798772483045","7.67782370701952","4.50691906263502","0","0.212304143906802","5.12466949134694","0.0119598979643284","1.19442301150741","0.646204647001123","2.19570388211651","0","0.198129686394116","0.00605972418203297","0.0108813372621024","0.0814855801539725","0.034520324487221","0.0457813917006988","0","0.00112961683014201","6.89168378642456","0.0630670820082673","1.19784696308578","0.0391249490236473","0.0561043025637196","0","7.1658583843416","57.1126100339332","29.2984919934418","86.411102027375","13.588897972625"
"3","S2_MOD13Q1_S1","svmRadialMOD13Q1_S1","20180712_20180712","2018-07-12","2018-07-12","20180728_20180728","2018-07-28","2018-07-28","3","3212|3213|3215","32","16","48387.76","1818.92","6601.27","138.74","728.57","164.69","4442.18","207.19","660.42","4756.96","998.88","13.16","104.15","117.63","12645.07","9280.71","77256.85","19974.88","3136.06","2274.44","1979.92","374.78","5.22","1160.29","23942.37","26639.23","0.03","4442.18","12549.71","210.83","3517.14","831.03","8839.28","4.62","561.93","0","0","0.02","0","0","0","0","21597.2","262.73","1515.91","55.23","148.83","17.25","21368.65","180455.33","95569.71","276025.04","47707.87","323732.91","84154.4158190139","87336","384.689153681767","370.675219840616","14.946815262001","0.561858230601269","2.03910995641438","0.0428563163380578","0.225052806648542","0.0508721834922498","1.37217436435486","0.064000289621466","0.204001502349576","1.46940884076321","0.308550650596506","0.00406507945083495","0.0321715824319498","0.0363355087995224","3.90601931697337","2.86677990198772","23.8643794355044","6.17017281313784","0.968718317825642","0.702566816577283","0.611590585584889","0.115768273296651","0.00161244032928256","0.358409653192195","7.39571704341088","8.22876796801413","9.26689844415262e-06","1.37217436435486","3.87656293578555","0.0651246732993566","1.08643263979556","0.256702353801472","2.73042366931431","0.0014271023603995","0.173578274757423","0","0","6.17793229610175e-06","0","0","0","0","6.67130196926843","0.0811564076077406","0.46825946734918","0.017060360035685","0.0459730831814411","0.00532846660538776","6.60070364795473","55.7420405605349","29.5211598969039","85.2632004574388","14.7367995425612"
"4","S2_MOD13Q1_S1","svmRadialMOD13Q1_S1","20180728_20180728","2018-07-28","2018-07-28","20180813_20180813","2018-08-13","2018-08-13","3","3212|3213|3215","32","16","59391.67","665.13","14420.47","82.03","1151.14","6.01","2186.24","282.09","1979.9","9757.34","71.33","55.44","0.01","95.62","4563.24","3400.61","65626.64","15673.01","4138.26","13.87","1429.53","250.73","3.13","787.73","20526.36","24280.02","0.1","2186.24","15758.34","23.63","3544.74","1143.84","18714.44","1.98","329.21","46.74","114.94","2353.4","5.61","6.47","0.09","37.31","21597.2","99.52","2515.57","38.71","176.91","0","18641.66","184880.76","93238.17","278118.93","40055.27","318174.2","84154.4158190139","87336","378.083784318911","364.310479069342","18.6664003555285","0.209045862298074","4.53225622944915","0.0257814744250162","0.361795519561297","0.00188890236857671","0.687120451626813","0.0886589798921471","0.622269184616477","3.06666599617442","0.0224185367638231","0.0174244171903316","3.14293239363845e-06","0.0300527195479709","1.43419548159467","1.06878873271309","20.6260092741649","4.92592108348194","1.30062714072983","0.00435924722997653","0.449291614467798","0.0788027439056969","0.000983737839208836","0.247578213444082","6.45129617674846","7.63104613761895","3.14293239363845e-05","0.687120451626813","4.95273972559686","0.00742674924616766","1.1140878173026","0.359501178913941","5.88182197048032","0.000622300613940414","0.103468477330972","0.0146900660078661","0.0361248649324804","0.739657709518874","0.00176318507283117","0.00203347725868408","2.82863915427461e-05","0.0117262807606651","6.78785394918884","0.0312784631814899","0.790626644146508","0.0121662912957745","0.0556016169758579","0","5.85894770851942","58.1067729564496","29.3041264816569","87.4108994381066","12.5891005618935"
"5","S2_MOD13Q1_S1","svmRadialMOD13Q1_S1","20180813_20180813","2018-08-13","2018-08-13","20180829_20180829","2018-08-29","2018-08-29","3","3212|3213|3215","32","16","79113.91","311.59","4893.67","61.75","629.14","0.05","2649.53","95.45","1614.95","4064.61","446.59","28.16","0","43.91","4450.17","2112.89","61913.95","24243.21","5299.12","1.26","1028.71","343.07","96.5","846.24","13048.33","23173.57","0","2649.53","27574.33","120.31","5834.59","1250.02","13414.92","0","322.69","20.78","0.03","1.56","0","0.6","0","0.01","21597.2","219.05","3268.61","96.21","221.16","0.02","14449.85","183555.91","104395.83","287951.74","33600.06","321551.8","84154.4158190139","87336","382.097358612224","368.177841897957","24.6037839004478","0.0969019610526204","1.52189165167167","0.0192037488205633","0.195657433732294","1.55495941866909e-05","0.823982325709264","0.029684175302393","0.50223634263593","1.26406072054332","0.138885865356686","0.00875753144594432","0","0.013655653614752","1.38396675123573","0.657091641222347","19.2547359399014","7.53944154565454","1.64798331093155","0.000391849773504611","0.319920460715816","0.106691985552561","0.0300107167803135","0.263173771690906","4.05792472628049","7.2067921871375","0","0.823982325709264","8.57539282939794","0.0374154335320157","1.8145101349145","0.388746074504948","4.17193124093847","0","0.100353970962066","0.00646241134398875","9.32975651201455e-06","0.000485147338624757","0","0.000186595130240291","0","3.10991883733818e-06","6.71655391137602","0.0681227721318929","1.0165111810912","0.0299205291340307","0.0687789650065713","6.21983767467637e-06","4.49378607117112","57.0843982213752","32.4662558256555","89.5506540470307","10.4493459529693"
"6","S2_MOD13Q1_S1","svmRadialMOD13Q1_S1","20180829_20180829","2018-08-29","2018-08-29","20180914_20180914","2018-09-14","2018-09-14","3","3212|3213|3215","32","16","94426.41","444.56","4993.81","52.22","961.38","60.71","15209.47","374.21","715.75","2603.66","519.97","154.35","6.75","87.85","8411.71","2230.78","47944.1","16438.98","5230.65","68.57","448.42","1055.92","6.51","3435.82","16381.39","18214.36","12.71","15209.47","23895.99","329.88","4208.07","2031.77","12037.24","47.68","217.97","0.03","0","1.26","0","0","0.04","0","21597.2","140.05","870.9","51.59","29.03","0.27","14589.47","186094.4","99664.04","285758.44","49990.49","335748.93","84154.4158190139","87336","398.967691394919","384.433601264084","28.1241134558493","0.132408463669564","1.48736438266534","0.0155532885838236","0.286338961675917","0.0180819638055138","4.53001294747239","0.111455306797255","0.213180128377475","0.775478271814597","0.154868699060337","0.045971851645216","0.00201043082996571","0.0261653849499982","2.50535720247865","0.664419094351246","14.2797476674014","4.89621217854663","1.55790518826076","0.0204229988164073","0.1335581322627","0.314496906959614","0.00193894884490027","1.02333014136486","4.87905948054697","5.42499420623619","0.00378556679242433","4.53001294747239","7.11722000126702","0.0982519884724577","1.25333832039316","0.605145636651768","3.5851908746217","0.0142010876996689","0.0649205345196484","8.93524813318095e-06","0","0.0003752804215936","0","0","1.19136641775746e-05","0","6.43254469939785","0.041712716701733","0.259390253306243","0.0153656483730268","0.00864634177687476","8.04172331986285e-05","4.34535115271998","55.4266546731809","29.684097578509","85.11075225169","14.88924774831"
"7","S2_MOD13Q1_S1","svmRadialMOD13Q1_S1","20180914_20180914","2018-09-14","2018-09-14","20180930_20180930","2018-09-30","2018-09-30","3","3212|3213|3215","32","16","111902.33","330.35","8804.82","83.27","1296.64","317.82","7795.5","510.79","144.76","2934.47","111.08","84.73","13.83","58.98","5073.58","575.78","34846.76","11882.37","10925.87","149.41","488.11","138.71","120.08","771.48","20244.73","14133.92","1.02","7795.5","10546.73","104.55","2616.4","1917.74","21077.59","18.9","241.04","70.68","5.3","56.29","37.24","14.7","11.35","1.2","21597.2","121.89","1730.56","13.11","70.99","5.63","16585.39","204812.91","70885.2","275698.11","42683.06","318381.17","84154.4158190139","87336","378.329725067219","364.547460382889","35.1472827366015","0.103759276969803","2.76549646450511","0.0261541849349947","0.407260266051538","0.0998237427169452","2.44848022890298","0.160433482922373","0.0454675130441917","0.921684533039438","0.0348889979894226","0.026612754768129","0.00434384985770358","0.0185249649029181","1.5935552972558","0.180846122275385","10.9449814510073","3.73212084119171","3.43169478270339","0.0469280265538317","0.153309946062451","0.0435672750370256","0.0377157983306613","0.242313325250988","6.35864551914298","4.43930776433795","0.000320370705340394","2.44848022890298","3.3126111069948","0.0328379972973904","0.821782268090792","0.602340898489694","6.62023762272122","0.00593628071660142","0.0757079949169105","0.0221998053465285","0.00166467131206283","0.0176800656898145","0.0116966716341924","0.00461710722402333","0.0035649093192289","0.00037690671216517","6.78344136997801","0.0382842992881771","0.543549733170464","0.00411770583040448","0.0222971729138378","0.00176832065790826","5.20928734573091","64.3294670975673","22.2642563943087","86.5937234918761","13.4062765081239"
"8","S2_MOD13Q1_S1","svmRadialMOD13Q1_S1","20180610_20180610","2018-06-10","2018-06-10","20180626_20180626","2018-06-26","2018-06-26","4","3517|3518|3522|3524","35","16","23232.76","191.78","815.04","105.59","193.27","0","7948.6","1280.72","2305.8","1691.71","224.15","67.42","0","2330.66","1284.58","1439.17","6798.09","5273.82","528.92","0","1370.15","519.4","8.47","405.77","6439.4","1470.47","0","7948.6","1464.87","16.83","408.76","633.34","676.7","0.01","2968.9","8.12","0.04","1.2","0.62","0.54","0","0.09","21597.2","866.49","1247.36","962.11","559.56","0","87966.38","127419.13","44782.01","172201.14","21052.32","193253.46","84154.4158190139","87336","229.641496669193","221.275831272328","12.021911535245","0.0992375505204409","0.421746653332882","0.0546380903089652","0.100008558708341","0","4.11304408210854","0.662715172085405","1.1931481071542","0.875384068155882","0.115987574038778","0.0348868268645746","0","1.20601204242346","0.66471254900171","0.744705942134231","3.51770674636304","2.72896537014137","0.273692383049701","0","0.708991187014194","0.268766209929695","0.00438284520235757","0.209967780137028","3.33210075514301","0.760902288631727","0","4.11304408210854","0.758004539737607","0.00870877033715205","0.211514971064425","0.327725050821858","0.350161906544907","5.17455159664412e-06","1.53627262352767","0.00420173589647502","2.06982063865765e-05","0.000620946191597294","0.000320822198991935","0.000279425786218782","0","4.6570964369797e-05","11.1755825743042","0.448369721297616","0.645452867959001","0.497848783664727","0.289547209141818","0","45.5186572080003","65.9336862584504","23.1726821346433","89.1063683930937","10.8936316069063"
"9","S2_MOD13Q1_S1","svmRadialMOD13Q1_S1","20180626_20180626","2018-06-26","2018-06-26","20180712_20180712","2018-07-12","2018-07-12","4","3517|3518|3522|3524","35","16","47627.94","222.62","820.3","350.05","749.08","4.13","34706.69","245.24","1429.56","2020.65","489.39","28.36","0","622.39","925.98","121.38","3451.01","4815.38","878.36","0.12","1188.46","214.85","2.11","197.01","6565.49","3861.64","0","34706.69","1127.61","4.91","176.43","453.61","712.88","1.09","1021.14","0","0","0","0","0.01","0","0","21597.2","268.24","1401.84","468.82","423.6","3.16","78444.13","138231.01","69896.67","208127.68","44221.87","252349.55","84154.4158190139","87336","299.864894247158","288.941043784923","18.8737962877287","0.0882189011234615","0.325064974357989","0.138716316315999","0.296842217471757","0.00163661872985309","13.753418621115","0.0971826579441097","0.566499920447649","0.800734536677399","0.193933375351769","0.0112383794621389","0","0.24663804631314","0.366943392607595","0.0480999470773774","1.36755147770226","1.90821818386441","0.348072742749095","4.7553086581688e-05","0.470957843990607","0.0851398387672972","0.00083614177239468","0.0780702798954862","2.60174428684339","1.53027417722758","0","13.753418621115","0.446844466336476","0.00194571379263407","0.0699149255467267","0.179754630035996","0.282497036352948","0.000431940536450332","0.404652990266874","0","0","0","0","3.96275721514066e-06","0","0","8.5584460126836","0.106296999538933","0.555515157447279","0.185781983760225","0.167862395633359","0.00125223127998445","31.0855042142932","54.7775932233681","27.6983533356806","82.4759465590488","17.5240534409513"
"10","S2_MOD13Q1_S1","svmRadialMOD13Q1_S1","20180712_20180712","2018-07-12","2018-07-12","20180728_20180728","2018-07-28","2018-07-28","4","3517|3518|3522|3524","35","16","64476.96","366.06","778.72","159.14","580.1","0","9044.5","239.79","1069.28","567.09","82.21","3.72","0","92.91","812.44","326.03","3038.06","2882.82","437.78","0","603.22","25.56","4.97","164.98","6757.98","3383.64","0","9044.5","1643.37","30.39","307.63","399.83","1883.38","0","2406.02","5.32","0.02","1.65","0","0.15","0","1.36","21597.2","1338.41","2272.83","521.08","655.84","0","60865.06","138090.72","43507.79","181598.51","17273.49","198872","84154.4158190139","87336","236.317961528843","227.709077585417","32.4213363369403","0.184068144334044","0.391568446035641","0.0800213202461885","0.291695160706384","0","4.54790015688483","0.120575043243896","0.537672472746289","0.28515326441128","0.0413381471499256","0.00187054990144415","0","0.0467184922965526","0.408524075787441","0.163939619453719","1.52764592300575","1.44958566314011","0.220131541896295","0","0.303320728911058","0.0128524880325033","0.00249909489520898","0.0829578824570578","3.3981555975703","1.70141598616195","0","4.54790015688483","0.826345589122652","0.0152811858884106","0.154687437145501","0.201048915885595","0.94703125628545","0","1.20983346071845","0.00267508749346313","1.00567199002373e-05","0.00082967939176958","0","7.542539925178e-05","0","0.000683856953216139","10.8598495514703","0.673000724083833","1.14286073454282","0.262017780280784","0.329779958968583","0","30.605143006557","69.4369845931051","21.8772828754174","91.3142674685225","8.68573253147753"
