"","paddy_raster_df","Freq"
"1","101",2905.93
"2","102",46.17
"3","103",231.38
"4","104",61.14
"5","105",115.17
"6","106",4.13
"7","107",6517.52
"8","201",13.98
"9","202",10.53
"10","203",20.79
"11","204",3.78
"12","205",0.78
"13","207",76.24
"14","301",205.58
"15","302",30.42
"16","303",193.78
"17","304",132.5
"18","305",80.16
"19","306",0.12
"20","307",356.77
"21","401",21.22
"22","402",0.34
"23","403",39.85
"24","404",199.3
"25","405",201.1
"26","407",201.82
"27","501",119.19
"28","502",2.55
"29","503",83.37
"30","504",51.19
"31","505",74.75
"32","506",1.09
"33","507",217.76
"34","701",1939.22
"35","702",116.49
"36","703",326.3
"37","704",79.12
"38","705",90.73
"39","706",3.16
"40","707",23512.56
