"","paddy_raster_df","Freq"
"1","101",5218.38
"2","102",77.25
"3","103",1926.81
"4","104",1.52
"5","105",32.32
"6","107",221.27
"7","201",102.54
"8","202",489.79
"9","203",2457.82
"10","204",1.71
"11","205",0.42
"12","207",13.22
"13","301",5429.35
"14","302",616.9
"15","303",51657.25
"16","304",7371.09
"17","305",663.05
"18","307",966.43
"19","401",8.22
"20","403",206.77
"21","404",3942.61
"22","405",1993.62
"23","407",7.99
"24","501",3590.86
"25","502",3.22
"26","503",1939.46
"27","504",499.7
"28","505",1778.37
"29","507",71.09
"30","601",0.11
"31","602",0.32
"32","603",3.45
"33","604",0.09
"34","605",0.02
"35","701",1658.99
"36","702",3.88
"37","703",923.84
"38","704",26.8
"39","705",28.95
"40","707",6161.7
