"","paddy_raster_df","Freq"
"1","101",1521.79
"2","102",0.5
"3","103",43.74
"4","104",173.2
"5","105",121.55
"6","107",4665.22
"7","201",0.53
"8","202",0.22
"9","203",6.29
"10","204",2.41
"11","205",0.28
"12","207",2.8
"13","301",38.45
"14","302",2.63
"15","303",76.14
"16","304",225.44
"17","305",47.89
"18","307",207.74
"19","401",51.75
"20","402",0.16
"21","403",59.56
"22","404",1055.02
"23","405",651.69
"24","407",765.08
"25","501",98.03
"26","502",0.42
"27","503",34.25
"28","504",296.89
"29","505",252.67
"30","507",428.41
"31","701",2894.07
"32","702",20.67
"33","703",151.83
"34","704",345.91
"35","705",215.65
"36","707",23829.94
