"","paddy_raster_df","Freq"
"1","101",21781.4
"2","102",135.3
"3","103",423.86
"4","104",65.37
"5","105",269.35
"6","107",15644.62
"7","201",203.09
"8","202",1349.95
"9","203",1675.91
"10","204",426.65
"11","205",24.35
"12","207",476.93
"13","301",234.37
"14","302",70.91
"15","303",2126.82
"16","304",3669.26
"17","305",572.22
"18","307",553.77
"19","401",129.02
"20","402",1.11
"21","403",77.63
"22","404",4804.58
"23","405",2589.62
"24","407",1612.11
"25","501",348.26
"26","502",1.58
"27","503",31.19
"28","504",30.19
"29","505",232.03
"30","507",205.46
"31","605",0.01
"32","701",4815.72
"33","702",28.29
"34","703",326.82
"35","704",23.09
"36","705",41.98
"37","707",13809.87
