"","paddy_raster_df","Freq"
"1","101",21418.82
"2","102",40.65
"3","103",121.32
"4","104",50.34
"5","105",243.01
"6","107",7879.33
"7","201",27.64
"8","202",68.86
"9","203",317.66
"10","204",56.55
"11","205",2.95
"12","207",66.42
"13","301",447.58
"14","302",17.42
"15","303",1054.27
"16","304",788.18
"17","305",178.09
"18","307",70.18
"19","401",12.86
"20","402",0.5
"21","403",19.97
"22","404",506.59
"23","405",419.23
"24","407",239.04
"25","501",562.13
"26","502",0.36
"27","503",27.62
"28","504",75.34
"29","505",153.43
"30","507",169.51
"31","701",16925.95
"32","702",102.79
"33","703",596.89
"34","704",20.7
"35","705",75.24
"36","707",17291.76
