"","paddy_raster_df","Freq"
"1","101",13234.35
"2","102",312.74
"3","103",2852.88
"4","104",594.86
"5","105",1071.92
"6","107",283.37
"7","201",361.4
"8","202",1489.2
"9","203",5641.96
"10","204",325.24
"11","205",114.29
"12","207",178.45
"13","301",3023.47
"14","302",1557.07
"15","303",18223.87
"16","304",12251.17
"17","305",2229.82
"18","306",0.02
"19","307",641.38
"20","401",782.69
"21","402",5.8
"22","403",695.41
"23","404",13606.25
"24","405",8094.93
"25","407",604.28
"26","501",8581.02
"27","502",8.71
"28","503",477.43
"29","504",1203.61
"30","505",2551.09
"31","507",449.75
"32","601",18.82
"33","602",33.78
"34","603",251.91
"35","604",108.09
"36","605",143.45
"37","607",3.54
"38","701",6508.94
"39","702",48.45
"40","703",415.62
"41","704",42.91
"42","705",92.44
"43","707",4656
