"","paddy_raster_df","Freq"
"1","101",1234.81
"2","102",14.24
"3","103",149.77
"4","104",9.04
"5","105",13.75
"6","107",1262.03
"7","201",187.72
"8","202",6.91
"9","203",153.26
"10","204",36.72
"11","205",8.61
"12","207",767.48
"13","301",167.17
"14","302",23.26
"15","303",205.84
"16","304",118.35
"17","305",62.36
"18","307",264.03
"19","401",107.83
"20","402",0.51
"21","403",81.51
"22","404",308.13
"23","405",197.88
"24","407",461.74
"25","501",248.97
"26","502",2.58
"27","503",94.38
"28","504",14.54
"29","505",83.36
"30","507",484.25
"31","701",8037.39
"32","702",78.86
"33","703",314.91
"34","704",176.82
"35","705",183.86
"36","707",22827.28
