"","paddy_raster_df","Freq"
"1","101",9655.79
"2","102",43.44
"3","103",435.87
"4","104",20.05
"5","105",65.27
"6","107",5594.57
"7","201",734.49
"8","202",122.06
"9","203",507.55
"10","204",27.09
"11","205",38.82
"12","207",1053.73
"13","301",252.54
"14","302",97.73
"15","303",747.02
"16","304",485.42
"17","305",166.77
"18","307",392.26
"19","401",82.58
"20","402",0.72
"21","403",70.06
"22","404",594.81
"23","405",478.12
"24","407",1280.77
"25","501",690.08
"26","502",3.94
"27","503",122.21
"28","504",57.09
"29","505",218.36
"30","507",1292.58
"31","701",19810
"32","702",271.57
"33","703",660.36
"34","704",13.33
"35","705",20.48
"36","707",24890.44
