"","paddy_raster_df","Freq"
"1","101",3806.62
"2","102",1067.05
"3","103",16084.97
"4","104",1.54
"5","105",420.68
"6","106",1.62
"7","107",939.11
"8","201",39.58
"9","202",466.77
"10","203",3948.24
"11","204",87.95
"12","205",19.64
"13","206",0.06
"14","207",43.7
"15","301",525.91
"16","302",1350.25
"17","303",38666.05
"18","304",3223.41
"19","305",927.68
"20","306",2.07
"21","307",848.16
"22","401",17.68
"23","402",0.06
"24","403",152.48
"25","404",2775.53
"26","405",3503.94
"27","406",0.05
"28","407",28.31
"29","501",2459.25
"30","502",169.77
"31","503",7078.3
"32","504",66.52
"33","505",2973.66
"34","506",0.17
"35","507",117.46
"36","601",5.39
"37","602",1.1
"38","603",396.58
"39","605",2.54
"40","607",1.02
"41","701",618.74
"42","702",5.76
"43","703",330.06
"44","704",4.26
"45","705",37.95
"46","706",0.02
"47","707",6826.63
