"","paddy_raster_df","Freq"
"1","101",11978.35
"2","102",133.97
"3","103",187.37
"4","104",64.61
"5","105",104.64
"6","107",592.61
"7","201",184.86
"8","202",2176.1
"9","203",974.42
"10","204",102.81
"11","205",3.75
"12","207",138.93
"13","301",716.44
"14","302",1314.7
"15","303",5614.52
"16","304",4217.2
"17","305",129.95
"18","307",338.69
"19","401",15.13
"20","402",7.15
"21","403",140.13
"22","404",4318.12
"23","405",347.67
"24","407",1061.51
"25","501",418.41
"26","502",10.03
"27","503",161.47
"28","504",479.49
"29","505",255.37
"30","506",0.01
"31","507",740.36
"32","601",8.12
"33","602",0.04
"34","603",1.2
"35","604",0.62
"36","605",0.54
"37","607",0.09
"38","701",25961.05
"39","702",508.24
"40","703",148.12
"41","704",11.92
"42","705",6.69
"43","707",16096.12
