"","paddy_raster_df","Freq"
"1","101",363.81
"2","102",0.13
"3","103",42.03
"4","104",11.89
"5","105",9.61
"6","107",499.39
"7","201",173.65
"8","202",0.73
"9","203",56.48
"10","204",57.53
"11","205",16.24
"12","207",370.52
"13","301",148.43
"14","302",3.48
"15","303",230.71
"16","304",452.85
"17","305",169.84
"18","307",375.17
"19","401",313.86
"20","402",0.09
"21","403",114.07
"22","404",1218.34
"23","405",446.8
"24","407",1546.21
"25","501",107.41
"26","502",0.28
"27","503",30.7
"28","504",82.22
"29","505",119.61
"30","507",451.71
"31","701",5632.3
"32","702",7.82
"33","703",123.97
"34","704",760.04
"35","705",348.53
"36","707",24152.54
