"","paddy_raster_df","Freq"
"1","101",5452.69
"2","102",805.59
"3","103",3915.18
"4","104",355.84
"5","105",584.83
"6","106",16.83
"7","107",1484.3
"8","201",139.29
"9","202",591.5
"10","203",2982.62
"11","204",895.93
"12","205",73.51
"13","206",21.47
"14","207",23.6
"15","301",3704.09
"16","302",6386.21
"17","303",29065.55
"18","304",15226.4
"19","305",2343.55
"20","306",460.28
"21","307",773.07
"22","401",612.53
"23","402",91.51
"24","403",621.02
"25","404",6730.52
"26","405",4877.38
"27","406",55.71
"28","407",174.89
"29","501",7087.45
"30","502",113.04
"31","503",1223.42
"32","504",541.63
"33","505",5273.22
"34","506",11.49
"35","507",990.15
"36","601",0.18
"37","603",0.22
"38","605",0.09
"39","607",0.03
"40","701",1353.2
"41","702",121.37
"42","703",119.97
"43","704",43.52
"44","705",118.91
"45","706",0.36
"46","707",8318.97
