"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.mtry","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.5.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.5.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.5.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.5.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.5.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.5.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.5.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.5.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.5.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.5.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy","testCM.Class.5.Balanced.Accuracy"
"1","Phase ~ TIME1 + TIME0","rf",423,45,2,"noProc",1,0.425531914893617,0.269341768552744,0.311111111111111,0.12593984962406,0.181658803933722,0.466491029912116,0.266666666666667,0.299919436484466,0.912304691497996,0.416666666666667,0.142857142857143,0.333333333333333,0.363636363636364,0.166666666666667,0.787878787878788,0.815789473684211,0.861111111111111,0.794117647058823,0.871794871794872,0.416666666666667,0.125,0.375,0.363636363636364,0.166666666666667,0.787878787878788,0.837837837837838,0.837837837837838,0.794117647058823,0.871794871794872,0.416666666666667,0.125,0.375,0.363636363636364,0.166666666666667,0.416666666666667,0.142857142857143,0.333333333333333,0.363636363636364,0.166666666666667,0.416666666666667,0.133333333333333,0.352941176470588,0.363636363636364,0.166666666666667,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.111111111111111,0.0222222222222222,0.0666666666666667,0.0888888888888889,0.0222222222222222,0.266666666666667,0.177777777777778,0.177777777777778,0.244444444444444,0.133333333333333,0.602272727272727,0.479323308270677,0.597222222222222,0.578877005347594,0.519230769230769
"2","Phase ~ TIME1 + TIME0","rf",423,45,2,"noProc",2,0.423167848699764,0.266512216268459,0.311111111111111,0.12593984962406,0.181658803933722,0.466491029912116,0.266666666666667,0.299919436484466,0.912304691497996,0.416666666666667,0.142857142857143,0.333333333333333,0.363636363636364,0.166666666666667,0.787878787878788,0.815789473684211,0.861111111111111,0.794117647058823,0.871794871794872,0.416666666666667,0.125,0.375,0.363636363636364,0.166666666666667,0.787878787878788,0.837837837837838,0.837837837837838,0.794117647058823,0.871794871794872,0.416666666666667,0.125,0.375,0.363636363636364,0.166666666666667,0.416666666666667,0.142857142857143,0.333333333333333,0.363636363636364,0.166666666666667,0.416666666666667,0.133333333333333,0.352941176470588,0.363636363636364,0.166666666666667,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.111111111111111,0.0222222222222222,0.0666666666666667,0.0888888888888889,0.0222222222222222,0.266666666666667,0.177777777777778,0.177777777777778,0.244444444444444,0.133333333333333,0.602272727272727,0.479323308270677,0.597222222222222,0.578877005347594,0.519230769230769
"3","Phase ~ TIME1 + TIME0","rf",423,45,2,"noProc",3,0.41371158392435,0.255630454835734,0.311111111111111,0.12593984962406,0.181658803933722,0.466491029912116,0.266666666666667,0.299919436484466,0.912304691497996,0.416666666666667,0.142857142857143,0.333333333333333,0.363636363636364,0.166666666666667,0.787878787878788,0.815789473684211,0.861111111111111,0.794117647058823,0.871794871794872,0.416666666666667,0.125,0.375,0.363636363636364,0.166666666666667,0.787878787878788,0.837837837837838,0.837837837837838,0.794117647058823,0.871794871794872,0.416666666666667,0.125,0.375,0.363636363636364,0.166666666666667,0.416666666666667,0.142857142857143,0.333333333333333,0.363636363636364,0.166666666666667,0.416666666666667,0.133333333333333,0.352941176470588,0.363636363636364,0.166666666666667,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.111111111111111,0.0222222222222222,0.0666666666666667,0.0888888888888889,0.0222222222222222,0.266666666666667,0.177777777777778,0.177777777777778,0.244444444444444,0.133333333333333,0.602272727272727,0.479323308270677,0.597222222222222,0.578877005347594,0.519230769230769
"4","Phase ~ TIME1 + TIME0","rf",423,45,2,"noProc",4,0.42080378250591,0.263521820391282,0.311111111111111,0.12593984962406,0.181658803933722,0.466491029912116,0.266666666666667,0.299919436484466,0.912304691497996,0.416666666666667,0.142857142857143,0.333333333333333,0.363636363636364,0.166666666666667,0.787878787878788,0.815789473684211,0.861111111111111,0.794117647058823,0.871794871794872,0.416666666666667,0.125,0.375,0.363636363636364,0.166666666666667,0.787878787878788,0.837837837837838,0.837837837837838,0.794117647058823,0.871794871794872,0.416666666666667,0.125,0.375,0.363636363636364,0.166666666666667,0.416666666666667,0.142857142857143,0.333333333333333,0.363636363636364,0.166666666666667,0.416666666666667,0.133333333333333,0.352941176470588,0.363636363636364,0.166666666666667,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.111111111111111,0.0222222222222222,0.0666666666666667,0.0888888888888889,0.0222222222222222,0.266666666666667,0.177777777777778,0.177777777777778,0.244444444444444,0.133333333333333,0.602272727272727,0.479323308270677,0.597222222222222,0.578877005347594,0.519230769230769
"5","Phase ~ TIME1 + TIME0","rf",423,45,2,"noProc",5,0.411347517730496,0.251274213612938,0.311111111111111,0.12593984962406,0.181658803933722,0.466491029912116,0.266666666666667,0.299919436484466,0.912304691497996,0.416666666666667,0.142857142857143,0.333333333333333,0.363636363636364,0.166666666666667,0.787878787878788,0.815789473684211,0.861111111111111,0.794117647058823,0.871794871794872,0.416666666666667,0.125,0.375,0.363636363636364,0.166666666666667,0.787878787878788,0.837837837837838,0.837837837837838,0.794117647058823,0.871794871794872,0.416666666666667,0.125,0.375,0.363636363636364,0.166666666666667,0.416666666666667,0.142857142857143,0.333333333333333,0.363636363636364,0.166666666666667,0.416666666666667,0.133333333333333,0.352941176470588,0.363636363636364,0.166666666666667,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.111111111111111,0.0222222222222222,0.0666666666666667,0.0888888888888889,0.0222222222222222,0.266666666666667,0.177777777777778,0.177777777777778,0.244444444444444,0.133333333333333,0.602272727272727,0.479323308270677,0.597222222222222,0.578877005347594,0.519230769230769
"6","Phase ~ TIME1 + TIME0","rf",423,45,2,"noProc",6,0.42789598108747,0.272276171924985,0.311111111111111,0.12593984962406,0.181658803933722,0.466491029912116,0.266666666666667,0.299919436484466,0.912304691497996,0.416666666666667,0.142857142857143,0.333333333333333,0.363636363636364,0.166666666666667,0.787878787878788,0.815789473684211,0.861111111111111,0.794117647058823,0.871794871794872,0.416666666666667,0.125,0.375,0.363636363636364,0.166666666666667,0.787878787878788,0.837837837837838,0.837837837837838,0.794117647058823,0.871794871794872,0.416666666666667,0.125,0.375,0.363636363636364,0.166666666666667,0.416666666666667,0.142857142857143,0.333333333333333,0.363636363636364,0.166666666666667,0.416666666666667,0.133333333333333,0.352941176470588,0.363636363636364,0.166666666666667,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.111111111111111,0.0222222222222222,0.0666666666666667,0.0888888888888889,0.0222222222222222,0.266666666666667,0.177777777777778,0.177777777777778,0.244444444444444,0.133333333333333,0.602272727272727,0.479323308270677,0.597222222222222,0.578877005347594,0.519230769230769
"7","Phase ~ TIME1 + TIME0","rf",423,45,2,"noProc",7,0.423167848699764,0.267532467532468,0.311111111111111,0.12593984962406,0.181658803933722,0.466491029912116,0.266666666666667,0.299919436484466,0.912304691497996,0.416666666666667,0.142857142857143,0.333333333333333,0.363636363636364,0.166666666666667,0.787878787878788,0.815789473684211,0.861111111111111,0.794117647058823,0.871794871794872,0.416666666666667,0.125,0.375,0.363636363636364,0.166666666666667,0.787878787878788,0.837837837837838,0.837837837837838,0.794117647058823,0.871794871794872,0.416666666666667,0.125,0.375,0.363636363636364,0.166666666666667,0.416666666666667,0.142857142857143,0.333333333333333,0.363636363636364,0.166666666666667,0.416666666666667,0.133333333333333,0.352941176470588,0.363636363636364,0.166666666666667,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.111111111111111,0.0222222222222222,0.0666666666666667,0.0888888888888889,0.0222222222222222,0.266666666666667,0.177777777777778,0.177777777777778,0.244444444444444,0.133333333333333,0.602272727272727,0.479323308270677,0.597222222222222,0.578877005347594,0.519230769230769
"8","Phase ~ TIME1 + TIME0","rf",423,45,2,"noProc",8,0.418439716312057,0.260142485388849,0.311111111111111,0.12593984962406,0.181658803933722,0.466491029912116,0.266666666666667,0.299919436484466,0.912304691497996,0.416666666666667,0.142857142857143,0.333333333333333,0.363636363636364,0.166666666666667,0.787878787878788,0.815789473684211,0.861111111111111,0.794117647058823,0.871794871794872,0.416666666666667,0.125,0.375,0.363636363636364,0.166666666666667,0.787878787878788,0.837837837837838,0.837837837837838,0.794117647058823,0.871794871794872,0.416666666666667,0.125,0.375,0.363636363636364,0.166666666666667,0.416666666666667,0.142857142857143,0.333333333333333,0.363636363636364,0.166666666666667,0.416666666666667,0.133333333333333,0.352941176470588,0.363636363636364,0.166666666666667,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.111111111111111,0.0222222222222222,0.0666666666666667,0.0888888888888889,0.0222222222222222,0.266666666666667,0.177777777777778,0.177777777777778,0.244444444444444,0.133333333333333,0.602272727272727,0.479323308270677,0.597222222222222,0.578877005347594,0.519230769230769
"9","Phase ~ TIME1 + TIME0","rf",423,45,2,"noProc",9,0.42080378250591,0.263772954924875,0.311111111111111,0.12593984962406,0.181658803933722,0.466491029912116,0.266666666666667,0.299919436484466,0.912304691497996,0.416666666666667,0.142857142857143,0.333333333333333,0.363636363636364,0.166666666666667,0.787878787878788,0.815789473684211,0.861111111111111,0.794117647058823,0.871794871794872,0.416666666666667,0.125,0.375,0.363636363636364,0.166666666666667,0.787878787878788,0.837837837837838,0.837837837837838,0.794117647058823,0.871794871794872,0.416666666666667,0.125,0.375,0.363636363636364,0.166666666666667,0.416666666666667,0.142857142857143,0.333333333333333,0.363636363636364,0.166666666666667,0.416666666666667,0.133333333333333,0.352941176470588,0.363636363636364,0.166666666666667,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.111111111111111,0.0222222222222222,0.0666666666666667,0.0888888888888889,0.0222222222222222,0.266666666666667,0.177777777777778,0.177777777777778,0.244444444444444,0.133333333333333,0.602272727272727,0.479323308270677,0.597222222222222,0.578877005347594,0.519230769230769
"10","Phase ~ TIME1 + TIME0","rf",423,45,2,"noProc",10,0.423167848699764,0.266501790892035,0.311111111111111,0.12593984962406,0.181658803933722,0.466491029912116,0.266666666666667,0.299919436484466,0.912304691497996,0.416666666666667,0.142857142857143,0.333333333333333,0.363636363636364,0.166666666666667,0.787878787878788,0.815789473684211,0.861111111111111,0.794117647058823,0.871794871794872,0.416666666666667,0.125,0.375,0.363636363636364,0.166666666666667,0.787878787878788,0.837837837837838,0.837837837837838,0.794117647058823,0.871794871794872,0.416666666666667,0.125,0.375,0.363636363636364,0.166666666666667,0.416666666666667,0.142857142857143,0.333333333333333,0.363636363636364,0.166666666666667,0.416666666666667,0.133333333333333,0.352941176470588,0.363636363636364,0.166666666666667,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.111111111111111,0.0222222222222222,0.0666666666666667,0.0888888888888889,0.0222222222222222,0.266666666666667,0.177777777777778,0.177777777777778,0.244444444444444,0.133333333333333,0.602272727272727,0.479323308270677,0.597222222222222,0.578877005347594,0.519230769230769
