"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.mtry","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.5.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.5.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.5.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.5.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.5.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.5.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.5.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.5.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.5.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.5.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy","testCM.Class.5.Balanced.Accuracy"
"1","Phase ~ TIME2 + TIME1 + TIME0","rf",423,45,3,"noProc",1,0.484633569739953,0.341784620655689,0.4,0.217139175257732,0.256975895192631,0.556686487520998,0.266666666666667,0.0355541429138956,NA,0.583333333333333,0.142857142857143,0.333333333333333,0.636363636363636,0,0.696969696969697,0.921052631578947,0.972222222222222,0.705882352941177,0.923076923076923,0.411764705882353,0.25,0.75,0.411764705882353,0,0.821428571428572,0.853658536585366,0.853658536585366,0.857142857142857,0.857142857142857,0.411764705882353,0.25,0.75,0.411764705882353,0,0.583333333333333,0.142857142857143,0.333333333333333,0.636363636363636,0,0.482758620689655,0.181818181818182,0.461538461538462,0.5,NA,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.155555555555556,0.0222222222222222,0.0666666666666667,0.155555555555556,0,0.377777777777778,0.0888888888888889,0.0888888888888889,0.377777777777778,0.0666666666666667,0.640151515151515,0.531954887218045,0.652777777777778,0.671122994652406,0.461538461538462
"2","Phase ~ TIME2 + TIME1 + TIME0","rf",423,45,3,"noProc",2,0.48936170212766,0.348135041808168,0.4,0.217139175257732,0.256975895192631,0.556686487520998,0.266666666666667,0.0355541429138956,NA,0.583333333333333,0.142857142857143,0.333333333333333,0.636363636363636,0,0.696969696969697,0.921052631578947,0.972222222222222,0.705882352941177,0.923076923076923,0.411764705882353,0.25,0.75,0.411764705882353,0,0.821428571428572,0.853658536585366,0.853658536585366,0.857142857142857,0.857142857142857,0.411764705882353,0.25,0.75,0.411764705882353,0,0.583333333333333,0.142857142857143,0.333333333333333,0.636363636363636,0,0.482758620689655,0.181818181818182,0.461538461538462,0.5,NA,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.155555555555556,0.0222222222222222,0.0666666666666667,0.155555555555556,0,0.377777777777778,0.0888888888888889,0.0888888888888889,0.377777777777778,0.0666666666666667,0.640151515151515,0.531954887218045,0.652777777777778,0.671122994652406,0.461538461538462
"3","Phase ~ TIME2 + TIME1 + TIME0","rf",423,45,3,"noProc",3,0.475177304964539,0.329218900675024,0.4,0.217139175257732,0.256975895192631,0.556686487520998,0.266666666666667,0.0355541429138956,NA,0.583333333333333,0.142857142857143,0.333333333333333,0.636363636363636,0,0.696969696969697,0.921052631578947,0.972222222222222,0.705882352941177,0.923076923076923,0.411764705882353,0.25,0.75,0.411764705882353,0,0.821428571428572,0.853658536585366,0.853658536585366,0.857142857142857,0.857142857142857,0.411764705882353,0.25,0.75,0.411764705882353,0,0.583333333333333,0.142857142857143,0.333333333333333,0.636363636363636,0,0.482758620689655,0.181818181818182,0.461538461538462,0.5,NA,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.155555555555556,0.0222222222222222,0.0666666666666667,0.155555555555556,0,0.377777777777778,0.0888888888888889,0.0888888888888889,0.377777777777778,0.0666666666666667,0.640151515151515,0.531954887218045,0.652777777777778,0.671122994652406,0.461538461538462
"4","Phase ~ TIME2 + TIME1 + TIME0","rf",423,45,3,"noProc",4,0.482269503546099,0.338765284053192,0.4,0.217139175257732,0.256975895192631,0.556686487520998,0.266666666666667,0.0355541429138956,NA,0.583333333333333,0.142857142857143,0.333333333333333,0.636363636363636,0,0.696969696969697,0.921052631578947,0.972222222222222,0.705882352941177,0.923076923076923,0.411764705882353,0.25,0.75,0.411764705882353,0,0.821428571428572,0.853658536585366,0.853658536585366,0.857142857142857,0.857142857142857,0.411764705882353,0.25,0.75,0.411764705882353,0,0.583333333333333,0.142857142857143,0.333333333333333,0.636363636363636,0,0.482758620689655,0.181818181818182,0.461538461538462,0.5,NA,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.155555555555556,0.0222222222222222,0.0666666666666667,0.155555555555556,0,0.377777777777778,0.0888888888888889,0.0888888888888889,0.377777777777778,0.0666666666666667,0.640151515151515,0.531954887218045,0.652777777777778,0.671122994652406,0.461538461538462
"5","Phase ~ TIME2 + TIME1 + TIME0","rf",423,45,3,"noProc",5,0.491725768321513,0.350629413570771,0.4,0.217139175257732,0.256975895192631,0.556686487520998,0.266666666666667,0.0355541429138956,NA,0.583333333333333,0.142857142857143,0.333333333333333,0.636363636363636,0,0.696969696969697,0.921052631578947,0.972222222222222,0.705882352941177,0.923076923076923,0.411764705882353,0.25,0.75,0.411764705882353,0,0.821428571428572,0.853658536585366,0.853658536585366,0.857142857142857,0.857142857142857,0.411764705882353,0.25,0.75,0.411764705882353,0,0.583333333333333,0.142857142857143,0.333333333333333,0.636363636363636,0,0.482758620689655,0.181818181818182,0.461538461538462,0.5,NA,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.155555555555556,0.0222222222222222,0.0666666666666667,0.155555555555556,0,0.377777777777778,0.0888888888888889,0.0888888888888889,0.377777777777778,0.0666666666666667,0.640151515151515,0.531954887218045,0.652777777777778,0.671122994652406,0.461538461538462
"6","Phase ~ TIME2 + TIME1 + TIME0","rf",423,45,3,"noProc",6,0.486997635933806,0.345271296818049,0.4,0.217139175257732,0.256975895192631,0.556686487520998,0.266666666666667,0.0355541429138956,NA,0.583333333333333,0.142857142857143,0.333333333333333,0.636363636363636,0,0.696969696969697,0.921052631578947,0.972222222222222,0.705882352941177,0.923076923076923,0.411764705882353,0.25,0.75,0.411764705882353,0,0.821428571428572,0.853658536585366,0.853658536585366,0.857142857142857,0.857142857142857,0.411764705882353,0.25,0.75,0.411764705882353,0,0.583333333333333,0.142857142857143,0.333333333333333,0.636363636363636,0,0.482758620689655,0.181818181818182,0.461538461538462,0.5,NA,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.155555555555556,0.0222222222222222,0.0666666666666667,0.155555555555556,0,0.377777777777778,0.0888888888888889,0.0888888888888889,0.377777777777778,0.0666666666666667,0.640151515151515,0.531954887218045,0.652777777777778,0.671122994652406,0.461538461538462
"7","Phase ~ TIME2 + TIME1 + TIME0","rf",423,45,3,"noProc",7,0.491725768321513,0.3510557073846,0.4,0.217139175257732,0.256975895192631,0.556686487520998,0.266666666666667,0.0355541429138956,NA,0.583333333333333,0.142857142857143,0.333333333333333,0.636363636363636,0,0.696969696969697,0.921052631578947,0.972222222222222,0.705882352941177,0.923076923076923,0.411764705882353,0.25,0.75,0.411764705882353,0,0.821428571428572,0.853658536585366,0.853658536585366,0.857142857142857,0.857142857142857,0.411764705882353,0.25,0.75,0.411764705882353,0,0.583333333333333,0.142857142857143,0.333333333333333,0.636363636363636,0,0.482758620689655,0.181818181818182,0.461538461538462,0.5,NA,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.155555555555556,0.0222222222222222,0.0666666666666667,0.155555555555556,0,0.377777777777778,0.0888888888888889,0.0888888888888889,0.377777777777778,0.0666666666666667,0.640151515151515,0.531954887218045,0.652777777777778,0.671122994652406,0.461538461538462
"8","Phase ~ TIME2 + TIME1 + TIME0","rf",423,45,3,"noProc",8,0.49645390070922,0.355920450646231,0.4,0.217139175257732,0.256975895192631,0.556686487520998,0.266666666666667,0.0355541429138956,NA,0.583333333333333,0.142857142857143,0.333333333333333,0.636363636363636,0,0.696969696969697,0.921052631578947,0.972222222222222,0.705882352941177,0.923076923076923,0.411764705882353,0.25,0.75,0.411764705882353,0,0.821428571428572,0.853658536585366,0.853658536585366,0.857142857142857,0.857142857142857,0.411764705882353,0.25,0.75,0.411764705882353,0,0.583333333333333,0.142857142857143,0.333333333333333,0.636363636363636,0,0.482758620689655,0.181818181818182,0.461538461538462,0.5,NA,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.155555555555556,0.0222222222222222,0.0666666666666667,0.155555555555556,0,0.377777777777778,0.0888888888888889,0.0888888888888889,0.377777777777778,0.0666666666666667,0.640151515151515,0.531954887218045,0.652777777777778,0.671122994652406,0.461538461538462
"9","Phase ~ TIME2 + TIME1 + TIME0","rf",423,45,3,"noProc",9,0.494089834515366,0.353465084886188,0.4,0.217139175257732,0.256975895192631,0.556686487520998,0.266666666666667,0.0355541429138956,NA,0.583333333333333,0.142857142857143,0.333333333333333,0.636363636363636,0,0.696969696969697,0.921052631578947,0.972222222222222,0.705882352941177,0.923076923076923,0.411764705882353,0.25,0.75,0.411764705882353,0,0.821428571428572,0.853658536585366,0.853658536585366,0.857142857142857,0.857142857142857,0.411764705882353,0.25,0.75,0.411764705882353,0,0.583333333333333,0.142857142857143,0.333333333333333,0.636363636363636,0,0.482758620689655,0.181818181818182,0.461538461538462,0.5,NA,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.155555555555556,0.0222222222222222,0.0666666666666667,0.155555555555556,0,0.377777777777778,0.0888888888888889,0.0888888888888889,0.377777777777778,0.0666666666666667,0.640151515151515,0.531954887218045,0.652777777777778,0.671122994652406,0.461538461538462
"10","Phase ~ TIME2 + TIME1 + TIME0","rf",423,45,3,"noProc",10,0.475177304964539,0.329865125240848,0.4,0.217139175257732,0.256975895192631,0.556686487520998,0.266666666666667,0.0355541429138956,NA,0.583333333333333,0.142857142857143,0.333333333333333,0.636363636363636,0,0.696969696969697,0.921052631578947,0.972222222222222,0.705882352941177,0.923076923076923,0.411764705882353,0.25,0.75,0.411764705882353,0,0.821428571428572,0.853658536585366,0.853658536585366,0.857142857142857,0.857142857142857,0.411764705882353,0.25,0.75,0.411764705882353,0,0.583333333333333,0.142857142857143,0.333333333333333,0.636363636363636,0,0.482758620689655,0.181818181818182,0.461538461538462,0.5,NA,0.266666666666667,0.155555555555556,0.2,0.244444444444444,0.133333333333333,0.155555555555556,0.0222222222222222,0.0666666666666667,0.155555555555556,0,0.377777777777778,0.0888888888888889,0.0888888888888889,0.377777777777778,0.0666666666666667,0.640151515151515,0.531954887218045,0.652777777777778,0.671122994652406,0.461538461538462
