"","paddy_raster_df","Freq"
"1","101",1118.79
"2","102",43.81
"3","103",85.09
"4","104",24.25
"5","105",12.84
"6","107",520.01
"7","201",2.9
"8","202",0.01
"9","203",0.16
"10","205",0.02
"11","207",1.26
"12","301",1033.75
"13","302",62.13
"14","303",1331.09
"15","304",1352.13
"16","305",377.48
"17","307",1298.12
"18","401",29.65
"19","402",0.3
"20","403",57.29
"21","404",489.14
"22","405",62.63
"23","407",191.34
"24","501",55.82
"25","502",0.15
"26","503",116.79
"27","504",218.95
"28","505",63.87
"29","507",249.56
"30","701",14945.19
"31","702",390.58
"32","703",1784.88
"33","704",195.69
"34","705",158.03
"35","707",20187.89
