"","paddy_raster_df","Freq"
"1","101",148.88
"2","102",4.98
"3","103",80.92
"4","104",16.47
"5","105",33.33
"6","107",9891.2
"7","201",4.05
"8","202",1.64
"9","203",96.69
"10","204",37.84
"11","205",2.49
"12","207",211.93
"13","301",34.87
"14","302",2.04
"15","303",122.32
"16","304",193.81
"17","305",43.03
"18","307",410.04
"19","401",3.6
"20","403",26
"21","404",12.19
"22","405",18.05
"23","407",273.32
"24","501",41.06
"25","502",0.1
"26","503",15.3
"27","504",4.5
"28","505",20.22
"29","507",263.33
"30","701",299.68
"31","702",38.65
"32","703",493.72
"33","704",115.74
"34","705",68.83
"35","707",22599.91
