"","paddy_raster_df","Freq"
"1","101",622.67
"2","102",94.52
"3","103",139.23
"4","104",10.65
"5","105",26.76
"6","107",3863.83
"7","201",40.34
"8","202",7.26
"9","203",36.14
"10","204",2.12
"11","205",0.72
"12","207",97.46
"13","301",35.6
"14","302",14
"15","303",179.64
"16","304",169.6
"17","305",108.33
"18","307",273.97
"19","401",61.17
"20","402",8.39
"21","403",243.7
"22","404",420.01
"23","405",242.24
"24","407",627.07
"25","501",15.73
"26","502",3.52
"27","503",14.52
"28","504",9.97
"29","505",22.67
"30","507",141.9
"31","701",1928.84
"32","702",172.2
"33","703",886.77
"34","704",337.24
"35","705",374.87
"36","707",23651.52
