"","paddy_raster_df","Freq"
"1","101",55648.25
"2","102",314.98
"3","103",1397.19
"4","104",21.02
"5","105",240.25
"6","106",60.71
"7","107",12785.76
"8","201",166.07
"9","202",9.81
"10","203",265.12
"11","204",270.13
"12","205",19.36
"13","206",2.63
"14","207",8.27
"15","301",4551.81
"16","302",137.3
"17","303",2895.1
"18","304",4162.34
"19","305",1299.63
"20","306",46.55
"21","307",60.24
"22","401",615.77
"23","402",1.14
"24","403",257.8
"25","404",2229.29
"26","405",5071.68
"27","406",12.71
"28","407",8.42
"29","501",13714.67
"30","502",228.4
"31","503",641.06
"32","504",403.99
"33","505",2427.96
"34","506",47.68
"35","507",36.64
"36","606",0.04
"37","701",303.03
"38","702",11.27
"39","703",303.27
"40","704",46.23
"41","705",10.39
"42","706",0.22
"43","707",3064.94
