"","namefile","size","masking","sampling","source","method","Count.Train","Count.Test","NoOfCoef","preProc","model","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa"
"33","WithMasking_LOOCV_S1_MOD13Q1_ML_v6_svmRadial_noProc_0019.csv","100","WithMasking","LOOCV","v6","noProc",423,45,5,"noProc","Phase ~ TIME2 + TIME1 + TIME0 + EVI + EVI_1",0.784869976359338,0.724325369542798,0.755555555555556,0.6875
"34","WithMasking_LOOCV_S1_MOD13Q1_ML_v6_svmRadial_noProc_0020.csv","100","WithMasking","LOOCV","v6","noProc",423,45,4,"noProc","Phase ~ TIME1 + TIME0 + EVI + EVI_1",0.75177304964539,0.681320494790919,0.644444444444444,0.539347408829175
"35","WithMasking_LOOCV_S1_MOD13Q1_ML_v6_svmRadial_noProc_0021.csv","100","WithMasking","LOOCV","v6","noProc",423,45,3,"noProc","Phase ~ TIME0 + EVI + EVI_1",0.718676122931442,0.639732037417425,0.644444444444444,0.544592030360531
"36","WithMasking_LOOCV_S1_MOD13Q1_ML_v6_svmRadial_noProc_0022.csv","100","WithMasking","LOOCV","v6","noProc",423,45,3,"noProc","Phase ~ TIME2 + TIME1 + TIME0",0.541371158392435,0.414349026912454,0.4,0.221153846153846
"37","WithMasking_LOOCV_S1_MOD13Q1_ML_v6_svmRadial_noProc_0023.csv","100","WithMasking","LOOCV","v6","noProc",423,45,2,"noProc","Phase ~ TIME1 + TIME0",0.460992907801418,0.306662065693273,0.444444444444444,0.288874841972187
"38","WithMasking_LOOCV_S1_MOD13Q1_ML_v6_svmRadial_noProc_0024.csv","100","WithMasking","LOOCV","v6","noProc",423,45,1,"noProc","Phase ~ TIME0",0.352245862884161,0.158813795506009,0.377777777777778,0.189710610932476
"39","WithMasking_LOOCV_S1_MOD13Q1_ML_v6_svmRadial_noProc_0025.csv","100","WithMasking","LOOCV","v6","noProc",423,45,2,"noProc","Phase ~ NDVI + NDVI_1",0.673758865248227,0.585867830158561,0.666666666666667,0.578914535246413
"40","WithMasking_LOOCV_S1_MOD13Q1_ML_v6_svmRadial_noProc_0026.csv","100","WithMasking","LOOCV","v6","noProc",423,45,2,"noProc","Phase ~ EVI + EVI_1",0.718676122931442,0.640850195496447,0.644444444444444,0.545741324921136
"41","WithMasking_LOOCV_S1_MOD13Q1_ML_v6_svmRadial_noProc_0027.csv","100","WithMasking","LOOCV","v6","noProc",423,45,7,"noProc","Phase ~ TIME2 + TIME1 + TIME0 + NDVI + EVI + NDVI_1 + EVI_1",0.83451536643026,0.789903146840742,0.688888888888889,0.604767879548306
"42","WithMasking_LOOCV_S1_MOD13Q1_ML_v6_svmRadial_noProc_0028.csv","100","WithMasking","LOOCV","v6","noProc",423,45,6,"noProc","Phase ~ TIME1 + TIME0 + NDVI + EVI + NDVI_1 + EVI_1",0.829787234042553,0.783631713554987,0.8,0.743670886075949
