"","x"
"Accuracy",0.492753623188406
"Kappa",0.349757673667205
"AccuracyLower",0.406678909961641
"AccuracyUpper",0.579145970734033
"AccuracyNull",0.268115942028986
"AccuracyPValue",1.59138019014145e-08
"McnemarPValue",0.236687449094008
