"","paddy_raster_df","Freq"
"1","101",15099.86
"2","102",99.87
"3","103",1899.26
"4","104",19.6
"5","105",422.8
"6","107",790.07
"7","201",115.88
"8","202",587.47
"9","203",1827.56
"10","204",248.22
"11","205",45.5
"12","206",4.16
"13","207",36.9
"14","301",1777.57
"15","302",1840.04
"16","303",30746.01
"17","304",9526.25
"18","305",1890.82
"19","306",21.98
"20","307",191.36
"21","401",37.66
"22","402",1.55
"23","403",663.54
"24","404",7306.47
"25","405",5402.77
"26","407",14.34
"27","501",5331.76
"28","502",21.93
"29","503",1508.41
"30","504",928
"31","505",5680.89
"32","507",82.18
"33","601",0.03
"34","603",1.26
"35","701",1501.4
"36","702",67.63
"37","703",559.17
"38","704",9.07
"39","705",16.34
"40","706",0.05
"41","707",3692.28
