"","paddy_raster_df","Freq"
"1","101",166.58
"2","102",8.07
"3","103",55.46
"4","104",20.96
"5","105",36.44
"6","107",9896.93
"7","201",6.02
"8","202",2.64
"9","203",90.16
"10","204",41.46
"11","205",2.83
"12","207",212.64
"13","301",39.84
"14","302",3.71
"15","303",98.18
"16","304",203.08
"17","305",47.4
"18","307",405.7
"19","401",5.82
"20","403",20.05
"21","404",14.15
"22","405",19.97
"23","407",274.04
"24","501",45.17
"25","502",0.28
"26","503",10.18
"27","504",4.82
"28","505",21.11
"29","507",260.51
"30","701",347.1
"31","702",57.21
"32","703",400.75
"33","704",130.74
"34","705",80.82
"35","707",22599.91
