"","paddy_raster_df","Freq"
"1","101",2228.39
"2","102",61.78
"3","103",209.3
"4","104",95.07
"5","105",110.41
"6","107",866.67
"7","201",5.31
"8","202",16.14
"9","203",167.36
"10","204",33.25
"11","205",6.57
"12","207",3
"13","301",108.78
"14","302",26.97
"15","303",405.43
"16","304",933.22
"17","305",123.28
"18","307",79.26
"19","401",106.25
"20","402",0.82
"21","403",59.65
"22","404",757.76
"23","405",233.13
"24","407",519.32
"25","501",295.48
"26","502",3.84
"27","503",121.85
"28","504",278.84
"29","505",150.16
"30","507",792.04
"31","701",15736.85
"32","702",414.33
"33","703",965.14
"34","704",198.11
"35","705",159.94
"36","707",20187.89
