"","paddy_raster_df","Freq"
"1","101",1206.92
"2","102",9.69
"3","103",135.1
"4","104",7.22
"5","105",10.53
"6","107",1253.67
"7","201",184.08
"8","202",3.07
"9","203",140.81
"10","204",29.05
"11","205",8.61
"12","207",769.09
"13","301",234.96
"14","302",18.85
"15","303",260.28
"16","304",189.07
"17","305",100.55
"18","307",417.96
"19","401",77.92
"20","402",0.43
"21","403",75.57
"22","404",224.85
"23","405",176.32
"24","407",376.05
"25","501",229.89
"26","502",0.95
"27","503",119.23
"28","504",17.51
"29","505",70.04
"30","507",422.76
"31","701",8015
"32","702",69.89
"33","703",337.49
"34","704",171.03
"35","705",198.43
"36","707",22827.28
