"","paddy_raster_df","Freq"
"1","101",8002.24
"2","102",84.29
"3","103",78.59
"4","104",17.28
"5","105",37.45
"6","107",565.08
"7","201",145.12
"8","202",2059.44
"9","203",867.77
"10","204",67.85
"11","205",1.21
"12","207",131.59
"13","301",4907.7
"14","302",1465.1
"15","303",5996.57
"16","304",4760.31
"17","305",337.19
"18","307",938.05
"19","401",2.21
"20","402",1.53
"21","403",83.69
"22","404",3918.17
"23","405",257.4
"24","407",788.31
"25","501",214.41
"26","502",6.83
"27","503",131.26
"28","504",412.3
"29","505",200.75
"30","506",0.01
"31","507",449.07
"32","601",7.81
"33","602",0.04
"34","603",1.7
"35","604",0.57
"36","605",0.4
"37","607",0.09
"38","701",25956
"39","702",507.14
"40","703",154.57
"41","704",11.72
"42","705",6.59
"43","707",16096.12
