"","paddy_raster_df","Freq"
"1","101",362.2
"2","102",0.23
"3","103",37.39
"4","104",10.1
"5","105",7.65
"6","107",509.74
"7","201",178.82
"8","202",0.43
"9","203",74.29
"10","204",51.08
"11","205",9.32
"12","207",415.87
"13","301",179.45
"14","302",2.06
"15","303",245.48
"16","304",760.17
"17","305",256.05
"18","307",425.82
"19","401",276.8
"20","402",0.02
"21","403",115.12
"22","404",939.36
"23","405",373.92
"24","407",1439.74
"25","501",103.8
"26","502",0.08
"27","503",45.05
"28","504",56.37
"29","505",85.55
"30","507",451.83
"31","701",5627.78
"32","702",5.49
"33","703",150.78
"34","704",742.04
"35","705",346.57
"36","707",24152.54
