"","paddy_raster_df","Freq"
"1","101",4899.89
"2","102",757.33
"3","103",4018.67
"4","104",333.78
"5","105",1100.56
"6","106",16.82
"7","107",1484.37
"8","201",216.3
"9","202",521
"10","203",3088.44
"11","204",791.33
"12","205",73.25
"13","206",21.51
"14","207",23.54
"15","301",3813.55
"16","302",5721.7
"17","303",30103.16
"18","304",14686.04
"19","305",2400.53
"20","306",460.26
"21","307",773.1
"22","401",497.75
"23","402",89.29
"24","403",650.63
"25","404",6984.98
"26","405",4707.32
"27","406",55.72
"28","407",174.87
"29","501",6420.91
"30","502",114.94
"31","503",1228.84
"32","504",552.72
"33","505",5921.59
"34","506",11.47
"35","507",990.13
"36","601",0.15
"37","603",0.21
"38","605",0.13
"39","607",0.03
"40","701",1341.67
"41","702",107.1
"42","703",148.47
"43","704",31.88
"44","705",127.85
"45","706",0.36
"46","707",8318.97
