,sensor,model,period_start,start_first,start_last,period_end,end_first,end_last,rows,regions,prov,time_lag,area_ha_101,area_ha_102,area_ha_103,area_ha_104,area_ha_105,area_ha_106,area_ha_107,area_ha_201,area_ha_202,area_ha_203,area_ha_204,area_ha_205,area_ha_206,area_ha_207,area_ha_301,area_ha_302,area_ha_303,area_ha_304,area_ha_305,area_ha_306,area_ha_307,area_ha_401,area_ha_402,area_ha_403,area_ha_404,area_ha_405,area_ha_406,area_ha_407,area_ha_501,area_ha_502,area_ha_503,area_ha_504,area_ha_505,area_ha_506,area_ha_507,area_ha_601,area_ha_602,area_ha_603,area_ha_604,area_ha_605,area_ha_606,area_ha_607,area_ha_701,area_ha_702,area_ha_703,area_ha_704,area_ha_705,area_ha_706,area_ha_707,area_ha_total_nochange,area_ha_total_correct,area_ha_total_true,area_ha_total_incorrect,area_ha_total_all,area_RS,area_BPS,compare_total_RS,compare_total_BPS,pct_101,pct_102,pct_103,pct_104,pct_105,pct_106,pct_107,pct_201,pct_202,pct_203,pct_204,pct_205,pct_206,pct_207,pct_301,pct_302,pct_303,pct_304,pct_305,pct_306,pct_307,pct_401,pct_402,pct_403,pct_404,pct_405,pct_406,pct_407,pct_501,pct_502,pct_503,pct_504,pct_505,pct_506,pct_507,pct_601,pct_602,pct_603,pct_604,pct_605,pct_606,pct_607,pct_701,pct_702,pct_703,pct_704,pct_705,pct_706,pct_707,pct_total_nochange,pct_total_correct,pct_total_true,pct_total_incorrect
64,S2,svmRadialS2,20180825_20180828,08/25/2018,08/28/2018,20180904_20180907,09/04/2018,09/07/2018,3,3212|3213|3215,32,10,87035.72,698.03,4446.41,135.5,766.55,610.97,2537.67,91.16,547.64,441.8,19.96,20.94,19.69,91.45,7294.92,10348.11,54664.86,10081,2565.49,1162.3,471.27,12.36,52.56,1354.42,19792.77,8202.06,39.4,2537.67,12329.47,69.57,3026.64,3240.46,24549.97,367.81,493.18,8063.03,1277.4,7589.44,4203.3,1830.87,1054.05,244.37,18048.34,631,1428.09,28.39,353.8,89.75,16548.25,204193.26,79031.86,283225.12,38284.74,321509.86,84154.41582,87336,382.0475217,368.1298205,27.07093338,0.217109982,1.382977804,0.042144897,0.238421926,0.190031497,0.789297722,0.028353718,0.170333812,0.137414137,0.006208208,0.00651302,0.006124229,0.028443918,2.268956853,3.218598024,17.00254543,3.135518146,0.797950644,0.361513019,0.146580264,0.003844361,0.016347866,0.421268573,6.156193779,2.551106831,0.012254679,0.789297722,3.834865282,0.021638528,0.94138326,1.007888218,7.635837358,0.114400846,0.153394985,2.507863989,0.397312854,2.36056213,1.307362704,0.569459985,0.327843756,0.076007,5.613619439,0.196261477,0.444182334,0.008830211,0.110043281,0.027915163,5.147042769,63.51073028,24.58147318,88.09220346,11.90779654
65,S2,svmRadialS2,20180830_20180902,08/30/2018,09/02/2018,20180909_20180912,09/09/2018,09/12/2018,3,3212|3213|3215,32,10,106884.56,529.21,4583.89,22.29,570.01,1868.92,3314.54,229.28,971.91,2912.74,69.17,84.03,136.33,101.54,4404.02,2472.46,55020.35,12692.41,3476.28,1779.48,568.69,66.09,130.43,624.77,27569.75,10553.81,475.67,3314.54,15134.33,91.59,2488.79,2640.11,21713.22,967.34,235.32,1364.62,91.4,897.71,113.06,244.51,264.52,52.49,18048.34,365.35,815.91,8.91,37.93,18.08,15508.9,227933.21,72098.45,300031.66,26497.94,326529.6,84154.41582,87336,388.0124374,373.8774389,32.73349797,0.162071065,1.403820664,0.006826334,0.174566104,0.572358524,1.015081022,0.070217218,0.29764836,0.89202939,0.021183378,0.025734267,0.041751192,0.031096721,1.348735306,0.757193222,16.85003442,3.887062612,1.06461405,0.544967439,0.174161852,0.020240125,0.039944311,0.191336406,8.443262112,3.232114332,0.145674389,1.015081022,4.634902931,0.028049524,0.7621943,0.808536194,6.649694239,0.296248793,0.072066973,0.417916171,0.027991337,0.27492454,0.034624732,0.07488142,0.081009501,0.016075112,5.52732126,0.111888784,0.249873212,0.002728696,0.011616099,0.005537017,4.749615349,69.80476196,22.08021876,91.88498072,8.115019282
66,S2,svmRadialS2,20180904_20180907,09/04/2018,09/07/2018,20180914_20180917,09/14/2018,09/17/2018,3,3212|3213|3215,32,10,63265.72,145.88,3654.58,31.48,503.06,40377.84,14217.36,296.67,1730.98,6801.09,243.7,200.64,3948,403.23,2776.74,1090.81,37782.49,8689.24,4265.22,18144,203.16,14.73,3.32,1120.98,18226.46,9392.14,8706.9,14217.36,6488.42,14.28,2318.93,643.49,13865.05,14845.8,113.71,1215.33,37.76,1160.1,140.32,530.6,257.95,1.91,18048.34,85.06,259.88,1.61,15.84,375.37,17360.22,152488.87,153400.75,305889.62,32344.13,338233.75,84154.41582,87336,401.9203826,387.2787281,18.70473304,0.043129936,1.080489454,0.009307173,0.148731462,11.93785067,4.203412581,0.087711531,0.511770336,2.010766223,0.072050764,0.059319923,1.167240111,0.11921637,0.820952965,0.32250182,11.1705263,2.569004424,1.261027322,5.364337533,0.06006497,0.004354976,0.00098157,0.331421687,5.388717122,2.776819285,2.574225665,4.203412581,1.918324236,0.004221932,0.685599826,0.190250086,4.099250888,4.389213081,0.033618762,0.359316597,0.011163877,0.342987653,0.041486102,0.15687376,0.076263826,0.000564698,5.336055317,0.025148289,0.076834438,0.000476002,0.004683152,0.110979463,5.132610214,45.08387173,45.35347227,90.437344,9.562656003
67,S2,svmRadialS2,20180909_20180912,09/09/2018,09/12/2018,20180919_20180922,09/19/2018,09/22/2018,3,3212|3213|3215,32,10,34499.44,75.44,5222.36,49.17,399.81,58591.46,32210.78,233.08,346.42,1878.77,101.1,114.67,1620.69,357.62,2013.95,1645.17,36321.89,9095.37,1691.65,16144.51,431.62,125.07,121.6,1849.84,21976.95,8288.05,10716.57,32210.78,4789.61,36.79,4349.79,1341.06,9659.64,16324.75,178.15,1732.66,25.49,1856.85,268.86,572.56,994.2,59.72,18048.34,127.02,339.88,2.58,8.24,47.55,16827.2,120625.74,182875.52,303501.26,52423.51,355924.77,84154.41582,87336,422.9424761,407.5350027,9.692902239,0.02119549,1.467265119,0.013814717,0.112329917,16.46175398,9.049884334,0.065485749,0.097329556,0.527855929,0.028404879,0.032217482,0.455346224,0.100476289,0.565835865,0.462224082,10.2049346,2.555419225,0.475283021,4.535933254,0.121267199,0.035139448,0.034164523,0.519727807,6.174605381,2.328596012,3.010908738,9.049884334,1.345680437,0.010336454,1.22210938,0.376781869,2.713955536,4.586573168,0.050052712,0.486805119,0.007161626,0.521697324,0.075538435,0.160865455,0.279328691,0.016778827,5.070829996,0.035687317,0.09549209,0.000724872,0.002315096,0.013359565,4.72774064,33.89079664,51.3803858,85.27118245,14.72881755
68,S2,svmRadialS2,20180914_20180917,09/14/2018,09/17/2018,20180924_20180927,09/24/2018,09/27/2018,3,3212|3213|3215,32,10,65516.77,219.9,3772.27,8.07,603.35,2265.42,3249.01,65.61,136.96,2591.79,107.43,72.7,64.39,61.12,3421.76,402.52,30246.65,8679.62,7831.5,1847.91,466.49,47.69,100.71,429.19,16179.1,10744.21,395.35,3249.01,7177.82,93.82,1706.56,1399.44,17329.09,650.58,239.12,52373.23,445.75,10637.45,10505.7,9920.42,2690.7,61.07,18048.34,198.13,1664.73,14.65,81.72,176.42,14407.93,146507.2,140474.64,286981.84,25617.33,312599.17,84154.41582,87336,371.459022,357.9270518,20.95871528,0.070345676,1.206743447,0.002581581,0.193010749,0.724704419,1.039353367,0.020988539,0.043813296,0.829109687,0.034366694,0.02325662,0.020598263,0.019552195,1.09461583,0.128765537,9.675857425,2.776597264,2.505284963,0.591143604,0.149229443,0.015255959,0.032216976,0.13729723,5.175669532,3.437056471,0.126471865,1.039353367,2.296173723,0.030012876,0.545925954,0.447678732,5.543549588,0.208119555,0.076494125,16.75411678,0.142594748,3.402904109,3.360757484,3.1735273,0.860750846,0.0195362,5.773636571,0.063381486,0.5325446,0.004686513,0.026142104,0.05643649,4.609074938,46.8674309,44.93762411,91.80505502,8.194944983
69,S2,svmRadialS2,20180603_20180603,06/03/2018,06/03/2018,20180613_20180613,06/13/2018,06/13/2018,4,3517|3518|3522|3524,35,10,5263.11,181.61,324.4,20.71,276.21,1892.66,2605.18,129.56,23.67,7.92,7.42,12.53,56.23,73.26,1840.93,396.25,2477.25,1078.66,1141.52,1800.04,0,1.25,96.59,386.95,2445,1295.23,720.31,2605.18,859.49,144,1020.15,334.86,3132.22,2313.99,0,10641.29,4615.92,17605.5,8474.8,9570.88,69213.52,0,18048.34,1463.6,733.46,327.97,815.37,5319.28,64784.95,147339.72,83505.21,230844.93,15734.29,246579.22,84154.41582,87336,293.0080586,282.3339974,2.134449935,0.073651786,0.131560153,0.008398923,0.112016738,0.767566707,1.056528608,0.052542952,0.009599349,0.003211949,0.003009175,0.005081531,0.02280403,0.029710533,0.746587648,0.160698862,1.004646701,0.437449676,0.462942498,0.730004742,0,0.000506936,0.039171995,0.156927254,0.99156774,0.525279462,0.292121128,1.056528608,0.348565463,0.058399082,0.413720994,0.135802198,1.270269247,0.938436743,0,4.315566413,1.871982562,7.139896055,3.436948174,3.881462517,28.06948615,0,7.319489453,0.593561777,0.2974541,0.133007964,0.330672633,2.157229632,26.27348322,59.75350234,33.86546928,93.61897162,6.381028377
70,S2,svmRadialS2,20180608_20180608,06/08/2018,06/08/2018,20180618_20180618,06/18/2018,06/18/2018,4,3517|3518|3522|3524,35,10,32202.78,1054.1,1599.86,199.79,737.3,6812.26,9262.01,466.43,423.57,338.53,152.33,312.05,415.59,296.11,6286.89,1299.04,12500.61,5547.34,3475.77,8851.61,0,272.71,627.1,772.16,11311.41,7470.04,1809.15,9262.01,4843.51,336.6,1620.47,1210.3,12112.54,4084.15,0,11625.27,1063.29,5171.49,2830.08,3917.67,9204.06,0,18048.34,1102.4,1083.35,614.02,1229.12,2367.33,42922.13,120677.1,95049.86,215726.96,33417.71,249144.67,84154.41582,87336,296.0565617,285.2714459,12.9253337,0.423087518,0.64214097,0.080190357,0.29593248,2.734258774,3.717522835,0.187212514,0.170009657,0.135876878,0.061141184,0.125248515,0.166806699,0.118850626,2.523389322,0.521399876,5.017410166,2.226553753,1.395081019,3.552799263,0,0.109458493,0.25170115,0.30992435,4.540097125,2.998274055,0.726144372,3.717522835,1.944055235,0.135102228,0.650413272,0.485782016,4.861649258,1.639268462,0,4.666072126,0.426776138,2.075697626,1.13591834,1.572447847,3.694263257,0,7.244120454,0.442473845,0.434827685,0.246451188,0.49333586,0.95018288,17.2277938,48.43655696,38.15046896,86.58702592,13.41297408
71,S2,svmRadialS2,20180613_20180613,06/13/2018,06/13/2018,20180623_20180623,06/23/2018,06/23/2018,4,3517|3518|3522|3524,35,10,15408.37,1025.69,898.58,58.29,427.89,7006.71,5669.75,345.4,381.63,249.44,28.91,115.24,4775.25,1025.72,1621.14,527.58,5057.76,1566.71,1466.12,12011.52,304.88,47.47,145.39,516.23,3005.49,1942.2,6870.83,5669.75,2317.57,185.15,1613.14,634.69,5789.31,5338.54,365.56,19398.58,1236.5,8728.19,4496.81,10610.65,35699.86,1145.9,18048.34,967.59,313.04,212.26,527.16,1276.7,52077.06,117419.48,114302.88,231722.36,17430.18,249152.54,84154.41582,87336,296.0659136,285.2804571,6.184311828,0.411671501,0.360654561,0.023395306,0.171738165,2.812216966,2.275613967,0.138629933,0.153171226,0.100115375,0.011603333,0.04625279,1.916596957,0.411683541,0.650661639,0.211749798,2.029985325,0.628815584,0.588442727,4.82095025,0.122366804,0.019052585,0.05835381,0.207194356,1.206285114,0.779522456,2.757680094,2.275613967,0.930181165,0.074311905,0.647450754,0.254739526,2.323600634,2.14267934,0.146721362,7.7858247,0.496282318,3.503151122,1.804842126,4.258696299,14.32851537,0.459919052,7.243891634,0.388352453,0.125641906,0.08519279,0.211581227,0.512417012,20.90167734,47.12754684,45.87666656,93.0042134,6.995786597
72,S2,svmRadialS2,20180618_20180618,06/18/2018,06/18/2018,20180628_20180628,06/28/2018,06/28/2018,4,3517|3518|3522|3524,35,10,47605.23,247.89,2696.7,542.22,1577.99,7559.65,11299.06,1433.08,1099.72,562.73,444.93,606.78,932.59,826.51,3718.81,1244.78,8461.95,3082,1511.64,4727.43,340.21,1243.46,4.89,987.4,8640.95,3466.16,7102.14,11299.06,7216.3,30.6,4000.66,899.17,7136.21,9563.05,408.56,14875.77,1980.11,5527.56,2493.56,3773.56,4555.22,338.63,18048.34,137.69,382.71,109.95,321.28,1355.52,34164.98,111664.26,104806.46,216470.72,34114.67,250585.39,84154.41582,87336,297.7685574,286.9210749,18.99760796,0.098924363,1.076160107,0.21638133,0.629721469,3.016795991,4.509065752,0.571892879,0.438860382,0.224566165,0.177556241,0.242145003,0.372164554,0.329831679,1.48404901,0.496748833,3.37687285,1.229920068,0.603243469,1.886554519,0.135766096,0.496222066,0.001951431,0.394037338,3.448305586,1.383225095,2.834219505,4.509065752,2.87977683,0.012211406,1.596525639,0.358827783,2.847815669,3.816283942,0.163042227,5.936407546,0.790193714,2.205858849,0.995093928,1.50589785,1.817831439,0.135135572,7.202470982,0.054947338,0.152726382,0.043877259,0.128211784,0.540941353,13.63406701,44.5613609,41.82464907,86.38600997,13.61399003
73,S2,svmRadialS2,20180623_20180623,06/23/2018,06/23/2018,20180703_20180703,07/03/2018,07/03/2018,4,3517|3518|3522|3524,35,10,8728.3,1070.25,2123.37,38.56,326.71,24185.16,14749.92,285.74,142.8,523.07,53.91,76.2,2198.19,1189.65,1339.05,537.91,2043.28,343.48,566.61,12546.06,0,39.7,505.73,301.49,1031.09,755.64,7369.51,14749.92,3014.41,1603.79,1667.18,148.63,3527.01,10917.62,0,10108.15,4446.98,3587.97,498.67,2259.07,52078.78,0,18048.34,3214.06,0,0,0,0,51270.09,118821.35,121726.08,240547.43,23664.62,264212.05,84154.41582,87336,313.9610054,302.5236443,3.303520789,0.405072365,0.803661302,0.014594338,0.123654466,9.153693028,5.582606849,0.108147982,0.054047497,0.197973559,0.020404066,0.028840471,0.831979465,0.45026334,0.50680883,0.20359026,0.773348528,0.130001641,0.214452747,4.748481381,0,0.01502581,0.191410649,0.114109103,0.390250937,0.285997554,2.789240688,5.582606849,1.140905572,0.607008651,0.631000744,0.056254058,1.334916405,4.132143102,0,3.825771762,1.683110214,1.357988782,0.188738553,0.855021563,19.71097836,0,6.831005626,1.216469877,0,0,0,0,19.40490224,44.97196475,46.07135821,91.04332297,8.956677033
