"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: 1",0.75,0.666666666666667,0.45,0.88,0.45,0.75,0.5625,0.266666666666667,0.2,0.444444444444444,0.708333333333333
"Class: 2",0.142857142857143,1,1,0.863636363636364,1,0.142857142857143,0.25,0.155555555555556,0.0222222222222222,0.0222222222222222,0.571428571428571
"Class: 3",0.333333333333333,0.944444444444444,0.6,0.85,0.6,0.333333333333333,0.428571428571429,0.2,0.0666666666666667,0.111111111111111,0.638888888888889
"Class: 4",0.909090909090909,0.823529411764706,0.625,0.96551724137931,0.625,0.909090909090909,0.740740740740741,0.244444444444444,0.222222222222222,0.355555555555556,0.866310160427807
"Class: 5",0.166666666666667,0.948717948717949,0.333333333333333,0.880952380952381,0.333333333333333,0.166666666666667,0.222222222222222,0.133333333333333,0.0222222222222222,0.0666666666666667,0.557692307692308
