"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: 1",0.75,0.939393939393939,0.818181818181818,0.911764705882353,0.818181818181818,0.75,0.782608695652174,0.266666666666667,0.2,0.244444444444444,0.84469696969697
"Class: 2",1,0.921052631578947,0.7,1,0.7,1,0.823529411764706,0.155555555555556,0.155555555555556,0.222222222222222,0.960526315789474
"Class: 3",0.333333333333333,0.916666666666667,0.5,0.846153846153846,0.5,0.333333333333333,0.4,0.2,0.0666666666666667,0.133333333333333,0.625
"Class: 4",0.818181818181818,0.970588235294118,0.9,0.942857142857143,0.9,0.818181818181818,0.857142857142857,0.244444444444444,0.2,0.222222222222222,0.894385026737968
"Class: 5",1,0.948717948717949,0.75,1,0.75,1,0.857142857142857,0.133333333333333,0.133333333333333,0.177777777777778,0.974358974358974
