"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: 1",0.5,0.878787878787879,0.6,0.828571428571429,0.6,0.5,0.545454545454545,0.266666666666667,0.133333333333333,0.222222222222222,0.689393939393939
"Class: 2",0.142857142857143,0.973684210526316,0.5,0.86046511627907,0.5,0.142857142857143,0.222222222222222,0.155555555555556,0.0222222222222222,0.0444444444444444,0.558270676691729
"Class: 3",0.111111111111111,1,1,0.818181818181818,1,0.111111111111111,0.2,0.2,0.0222222222222222,0.0222222222222222,0.555555555555556
"Class: 4",0.727272727272727,0.441176470588235,0.296296296296296,0.833333333333333,0.296296296296296,0.727272727272727,0.421052631578947,0.244444444444444,0.177777777777778,0.6,0.584224598930481
"Class: 5",0.166666666666667,0.897435897435897,0.2,0.875,0.2,0.166666666666667,0.181818181818182,0.133333333333333,0.0222222222222222,0.111111111111111,0.532051282051282
