"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.sigma","results.C","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.5.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.5.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.5.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.5.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.5.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.5.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.5.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.5.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.5.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.5.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy","testCM.Class.5.Balanced.Accuracy"
"1","Phase ~ DTEVI","svmRadial",330,138,1,"noProc",2.98023223876953e-08,1,0.263636363636364,0,0.376811594202899,0.157221985513421,0.295798686930353,0.463233016801002,0.268115942028986,0.00341583315285499,NA,0.837837837837838,0,0.111111111111111,0.529411764705882,0,0.277227722772277,1,0.972972972972973,0.903846153846154,1,0.298076923076923,NA,0.5,0.642857142857143,NA,0.823529411764706,0.847826086956522,0.818181818181818,0.854545454545455,0.86231884057971,0.298076923076923,NA,0.5,0.642857142857143,NA,0.837837837837838,0,0.111111111111111,0.529411764705882,0,0.439716312056738,NA,0.181818181818182,0.580645161290323,NA,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.22463768115942,0,0.0217391304347826,0.130434782608696,0,0.753623188405797,0,0.0434782608695652,0.202898550724638,0,0.557532780305058,0.5,0.542042042042042,0.716628959276018,0.5
"2","Phase ~ DTEVI","svmRadial",330,138,1,"noProc",2.98023223876953e-08,2,0.263636363636364,0,0.376811594202899,0.157221985513421,0.295798686930353,0.463233016801002,0.268115942028986,0.00341583315285499,NA,0.837837837837838,0,0.111111111111111,0.529411764705882,0,0.277227722772277,1,0.972972972972973,0.903846153846154,1,0.298076923076923,NA,0.5,0.642857142857143,NA,0.823529411764706,0.847826086956522,0.818181818181818,0.854545454545455,0.86231884057971,0.298076923076923,NA,0.5,0.642857142857143,NA,0.837837837837838,0,0.111111111111111,0.529411764705882,0,0.439716312056738,NA,0.181818181818182,0.580645161290323,NA,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.22463768115942,0,0.0217391304347826,0.130434782608696,0,0.753623188405797,0,0.0434782608695652,0.202898550724638,0,0.557532780305058,0.5,0.542042042042042,0.716628959276018,0.5
"3","Phase ~ DTEVI","svmRadial",330,138,1,"noProc",2.98023223876953e-08,4,0.263636363636364,0,0.376811594202899,0.157221985513421,0.295798686930353,0.463233016801002,0.268115942028986,0.00341583315285499,NA,0.837837837837838,0,0.111111111111111,0.529411764705882,0,0.277227722772277,1,0.972972972972973,0.903846153846154,1,0.298076923076923,NA,0.5,0.642857142857143,NA,0.823529411764706,0.847826086956522,0.818181818181818,0.854545454545455,0.86231884057971,0.298076923076923,NA,0.5,0.642857142857143,NA,0.837837837837838,0,0.111111111111111,0.529411764705882,0,0.439716312056738,NA,0.181818181818182,0.580645161290323,NA,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.22463768115942,0,0.0217391304347826,0.130434782608696,0,0.753623188405797,0,0.0434782608695652,0.202898550724638,0,0.557532780305058,0.5,0.542042042042042,0.716628959276018,0.5
"4","Phase ~ DTEVI","svmRadial",330,138,1,"noProc",2.98023223876953e-08,8,0.263636363636364,0,0.376811594202899,0.157221985513421,0.295798686930353,0.463233016801002,0.268115942028986,0.00341583315285499,NA,0.837837837837838,0,0.111111111111111,0.529411764705882,0,0.277227722772277,1,0.972972972972973,0.903846153846154,1,0.298076923076923,NA,0.5,0.642857142857143,NA,0.823529411764706,0.847826086956522,0.818181818181818,0.854545454545455,0.86231884057971,0.298076923076923,NA,0.5,0.642857142857143,NA,0.837837837837838,0,0.111111111111111,0.529411764705882,0,0.439716312056738,NA,0.181818181818182,0.580645161290323,NA,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.22463768115942,0,0.0217391304347826,0.130434782608696,0,0.753623188405797,0,0.0434782608695652,0.202898550724638,0,0.557532780305058,0.5,0.542042042042042,0.716628959276018,0.5
"5","Phase ~ DTEVI","svmRadial",330,138,1,"noProc",2.98023223876953e-08,16,0.263636363636364,0,0.376811594202899,0.157221985513421,0.295798686930353,0.463233016801002,0.268115942028986,0.00341583315285499,NA,0.837837837837838,0,0.111111111111111,0.529411764705882,0,0.277227722772277,1,0.972972972972973,0.903846153846154,1,0.298076923076923,NA,0.5,0.642857142857143,NA,0.823529411764706,0.847826086956522,0.818181818181818,0.854545454545455,0.86231884057971,0.298076923076923,NA,0.5,0.642857142857143,NA,0.837837837837838,0,0.111111111111111,0.529411764705882,0,0.439716312056738,NA,0.181818181818182,0.580645161290323,NA,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.22463768115942,0,0.0217391304347826,0.130434782608696,0,0.753623188405797,0,0.0434782608695652,0.202898550724638,0,0.557532780305058,0.5,0.542042042042042,0.716628959276018,0.5
"6","Phase ~ DTEVI","svmRadial",330,138,1,"noProc",2.98023223876953e-08,32,0.263636363636364,0,0.376811594202899,0.157221985513421,0.295798686930353,0.463233016801002,0.268115942028986,0.00341583315285499,NA,0.837837837837838,0,0.111111111111111,0.529411764705882,0,0.277227722772277,1,0.972972972972973,0.903846153846154,1,0.298076923076923,NA,0.5,0.642857142857143,NA,0.823529411764706,0.847826086956522,0.818181818181818,0.854545454545455,0.86231884057971,0.298076923076923,NA,0.5,0.642857142857143,NA,0.837837837837838,0,0.111111111111111,0.529411764705882,0,0.439716312056738,NA,0.181818181818182,0.580645161290323,NA,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.22463768115942,0,0.0217391304347826,0.130434782608696,0,0.753623188405797,0,0.0434782608695652,0.202898550724638,0,0.557532780305058,0.5,0.542042042042042,0.716628959276018,0.5
"7","Phase ~ DTEVI","svmRadial",330,138,1,"noProc",2.98023223876953e-08,64,0.263636363636364,0,0.376811594202899,0.157221985513421,0.295798686930353,0.463233016801002,0.268115942028986,0.00341583315285499,NA,0.837837837837838,0,0.111111111111111,0.529411764705882,0,0.277227722772277,1,0.972972972972973,0.903846153846154,1,0.298076923076923,NA,0.5,0.642857142857143,NA,0.823529411764706,0.847826086956522,0.818181818181818,0.854545454545455,0.86231884057971,0.298076923076923,NA,0.5,0.642857142857143,NA,0.837837837837838,0,0.111111111111111,0.529411764705882,0,0.439716312056738,NA,0.181818181818182,0.580645161290323,NA,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.22463768115942,0,0.0217391304347826,0.130434782608696,0,0.753623188405797,0,0.0434782608695652,0.202898550724638,0,0.557532780305058,0.5,0.542042042042042,0.716628959276018,0.5
"8","Phase ~ DTEVI","svmRadial",330,138,1,"noProc",2.98023223876953e-08,128,0.263636363636364,0,0.376811594202899,0.157221985513421,0.295798686930353,0.463233016801002,0.268115942028986,0.00341583315285499,NA,0.837837837837838,0,0.111111111111111,0.529411764705882,0,0.277227722772277,1,0.972972972972973,0.903846153846154,1,0.298076923076923,NA,0.5,0.642857142857143,NA,0.823529411764706,0.847826086956522,0.818181818181818,0.854545454545455,0.86231884057971,0.298076923076923,NA,0.5,0.642857142857143,NA,0.837837837837838,0,0.111111111111111,0.529411764705882,0,0.439716312056738,NA,0.181818181818182,0.580645161290323,NA,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.22463768115942,0,0.0217391304347826,0.130434782608696,0,0.753623188405797,0,0.0434782608695652,0.202898550724638,0,0.557532780305058,0.5,0.542042042042042,0.716628959276018,0.5
"9","Phase ~ DTEVI","svmRadial",330,138,1,"noProc",2.98023223876953e-08,256,0.263636363636364,0,0.376811594202899,0.157221985513421,0.295798686930353,0.463233016801002,0.268115942028986,0.00341583315285499,NA,0.837837837837838,0,0.111111111111111,0.529411764705882,0,0.277227722772277,1,0.972972972972973,0.903846153846154,1,0.298076923076923,NA,0.5,0.642857142857143,NA,0.823529411764706,0.847826086956522,0.818181818181818,0.854545454545455,0.86231884057971,0.298076923076923,NA,0.5,0.642857142857143,NA,0.837837837837838,0,0.111111111111111,0.529411764705882,0,0.439716312056738,NA,0.181818181818182,0.580645161290323,NA,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.22463768115942,0,0.0217391304347826,0.130434782608696,0,0.753623188405797,0,0.0434782608695652,0.202898550724638,0,0.557532780305058,0.5,0.542042042042042,0.716628959276018,0.5
"10","Phase ~ DTEVI","svmRadial",330,138,1,"noProc",2.98023223876953e-08,512,0.263636363636364,0,0.376811594202899,0.157221985513421,0.295798686930353,0.463233016801002,0.268115942028986,0.00341583315285499,NA,0.837837837837838,0,0.111111111111111,0.529411764705882,0,0.277227722772277,1,0.972972972972973,0.903846153846154,1,0.298076923076923,NA,0.5,0.642857142857143,NA,0.823529411764706,0.847826086956522,0.818181818181818,0.854545454545455,0.86231884057971,0.298076923076923,NA,0.5,0.642857142857143,NA,0.837837837837838,0,0.111111111111111,0.529411764705882,0,0.439716312056738,NA,0.181818181818182,0.580645161290323,NA,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.22463768115942,0,0.0217391304347826,0.130434782608696,0,0.753623188405797,0,0.0434782608695652,0.202898550724638,0,0.557532780305058,0.5,0.542042042042042,0.716628959276018,0.5
